deposit_id,user_id,deposit_date,amount_eur,payment_method,status
D700081,U130553,2026-03-02,1079.59,Bank Transfer,Completed
D700082,U120271,2025-08-10,34.47,Bank Transfer,Completed
D700083,U103426,2025-05-07,126.94,Bank Transfer,Completed
D700084,U130537,2026-05-16,160.83,Card,Completed
D700085,U147503,2026-06-29,711.33,Card,Completed
D700086,U122766,2025-12-12,367.78,Google Pay,Completed
D700087,U142356,2025-09-16,61.45,Bank Transfer,Completed
D700088,U119877,2025-01-29,792.01,Bank Transfer,Completed
D700089,U103382,2026-02-15,252.09,Card,Completed
D700090,U140869,2026-01-21,810.51,Apple Pay,Completed
D700091,U134090,2025-10-14,563.96,Bank Transfer,Completed
D700092,U141613,2026-07-05,92.37,Bank Transfer,Completed
D700093,U109854,2026-03-01,65.89,Bank Transfer,Completed
D700094,U127343,2025-10-05,67.38,Card,Completed
D700095,U103450,2025-10-20,46.92,Bank Transfer,Completed
D700096,U114336,2025-08-10,417.37,Bank Transfer,Completed
D700097,U123364,2025-08-14,225.98,Card,Completed
D700098,U143589,2026-01-14,49.84,Apple Pay,Completed
D700099,U119494,2025-06-05,58.99,Bank Transfer,Completed
D700100,U147551,2025-11-15,141.84,Card,Completed
D700101,U135736,2025-02-27,71.95,Bank Transfer,Completed
D700102,U102645,2026-03-03,317.74,Google Pay,Completed
D700103,U120066,2026-02-03,366.62,Bank Transfer,Completed
D700104,U145029,2026-02-13,339.77,Apple Pay,Completed
D700105,U118483,2025-09-12,575.62,Apple Pay,Completed
D700106,U126290,2026-03-08,144.98,Bank Transfer,Completed
D700107,U138729,2025-06-16,120.9,Card,Completed
D700108,U128757,2026-04-07,1533.24,Bank Transfer,Completed
D700109,U126905,2026-07-25,54.11,Bank Transfer,Completed
D700110,U110184,2025-10-12,161.03,Bank Transfer,Completed
D700111,U140608,2026-04-06,804.92,Bank Transfer,Completed
D700112,U145879,2025-09-08,141.9,Bank Transfer,Completed
D700113,U130529,2026-08-20,264.2,Bank Transfer,Completed
D700114,U104649,2026-01-11,526.14,Apple Pay,Completed
D700115,U107310,2025-12-10,306.01,Card,Completed
D700116,U106074,2026-08-19,788.84,Bank Transfer,Completed
D700117,U137977,2025-09-02,203.46,Bank Transfer,Completed
D700118,U140456,2026-01-12,567.0,Card,Completed
D700119,U105433,2026-08-27,87.27,Card,Completed
D700120,U127897,2026-03-29,379.44,Bank Transfer,Completed
D700121,U129004,2026-02-18,96.6,Card,Completed
D700122,U100655,2025-11-03,235.07,Google Pay,Completed
D700123,U109863,2026-05-26,160.56,Google Pay,Completed
D700124,U141715,2026-06-23,138.45,Card,Completed
D700125,U118671,2026-06-26,1258.12,Bank Transfer,Completed
D700126,U128613,2026-07-01,143.84,Card,Completed
D700127,U119617,2026-04-16,81.48,Google Pay,Completed
D700128,U109450,2025-06-18,26.09,Google Pay,Completed
D700129,U147974,2025-03-16,471.21,Bank Transfer,Completed
D700130,U133964,2026-05-03,592.8,Bank Transfer,Completed
D700131,U126746,2026-04-11,12.27,Bank Transfer,Completed
D700132,U147514,2025-11-11,378.2,Google Pay,Completed
D700133,U104050,2025-09-14,240.42,Bank Transfer,Completed
D700134,U134804,2026-02-02,107.39,Bank Transfer,Completed
D700135,U138314,2025-07-25,340.22,Bank Transfer,Completed
D700136,U139720,2026-07-10,134.6,Bank Transfer,Completed
D700137,U146324,2025-12-21,323.47,Apple Pay,Completed
D700138,U100836,2026-01-14,126.92,Bank Transfer,Completed
D700139,U149413,2026-07-20,167.67,Bank Transfer,Completed
D700140,U105013,2025-11-02,255.42,Card,Completed
D700141,U109431,2026-07-29,191.23,Bank Transfer,Completed
D700142,U141662,2025-10-14,189.5,Bank Transfer,Completed
D700143,U121533,2026-03-10,250.9,Apple Pay,Completed
D700144,U112083,2026-06-22,351.94,Google Pay,Pending
D700145,U135607,2025-07-26,322.32,Bank Transfer,Completed
D700146,U148687,2026-04-04,368.61,Apple Pay,Pending
D700147,U106550,2026-06-08,212.07,Card,Completed
D700148,U115848,2025-12-28,519.53,Bank Transfer,Completed
D700149,U146497,2026-01-21,54.47,Google Pay,Completed
D700150,U123413,2026-04-06,680.37,Card,Completed
D700151,U139080,2026-01-18,190.78,Card,Completed
D700152,U100679,2025-08-03,31.74,Card,Completed
D700153,U109859,2025-10-05,420.66,Bank Transfer,Completed
D700154,U100588,2025-09-29,390.25,Bank Transfer,Completed
D700155,U107041,2025-06-12,129.55,Bank Transfer,Completed
D700156,U122599,2026-03-15,441.5,Bank Transfer,Completed
D700157,U148139,2025-12-14,2100.96,Bank Transfer,Pending
D700158,U106106,2025-09-03,70.26,Bank Transfer,Completed
D700159,U148619,2026-08-07,1229.47,Card,Completed
D700160,U106874,2026-01-24,686.19,Apple Pay,Completed
D700161,U124632,2025-12-20,409.43,Card,Completed
D700162,U147242,2026-02-05,141.97,Bank Transfer,Completed
D700163,U135731,2025-10-03,223.65,Google Pay,Completed
D700164,U128999,2026-05-15,38.86,Bank Transfer,Completed
D700165,U137694,2025-12-08,615.58,Card,Completed
D700166,U123853,2025-11-09,807.94,Card,Completed
D700167,U105514,2025-12-23,111.62,Bank Transfer,Completed
D700168,U100996,2025-11-02,672.22,Google Pay,Completed
D700169,U101771,2025-10-22,512.44,Card,Completed
D700170,U144041,2026-06-05,730.88,Google Pay,Completed
D700171,U124623,2026-01-30,201.37,Bank Transfer,Completed
D700172,U131376,2026-03-31,405.95,Google Pay,Pending
D700173,U132127,2025-08-01,144.27,Bank Transfer,Completed
D700174,U130871,2026-03-01,504.18,Bank Transfer,Completed
D700175,U117441,2025-11-23,382.79,Apple Pay,Completed
D700176,U119686,2025-07-08,103.52,Bank Transfer,Completed
D700177,U134243,2025-07-04,239.3,Card,Completed
D700178,U100590,2026-05-13,299.41,Bank Transfer,Completed
D700179,U121271,2025-10-06,126.8,Card,Completed
D700180,U107149,2026-05-28,783.52,Bank Transfer,Completed
D700181,U110562,2026-08-14,927.01,Bank Transfer,Completed
D700182,U108391,2025-04-15,693.72,Bank Transfer,Completed
D700183,U117228,2026-07-23,1233.78,Bank Transfer,Completed
D700184,U138491,2025-12-09,378.49,Apple Pay,Completed
D700185,U136624,2026-06-17,12.14,Card,Completed
D700186,U139379,2026-06-14,46.15,Card,Completed
D700187,U103644,2025-12-26,283.39,Apple Pay,Completed
D700188,U143720,2026-02-19,471.94,Apple Pay,Completed
D700189,U133443,2026-03-18,166.64,Bank Transfer,Completed
D700190,U107040,2026-06-09,650.53,Google Pay,Completed
D700191,U124925,2025-06-12,234.13,Card,Completed
D700192,U118296,2026-03-25,295.58,Bank Transfer,Completed
D700193,U127932,2026-01-18,1830.31,Card,Completed
D700194,U127205,2026-06-05,217.17,Bank Transfer,Completed
D700195,U107951,2026-05-15,308.09,Card,Completed
D700196,U114607,2025-02-28,127.52,Apple Pay,Completed
D700197,U137806,2026-02-23,718.46,Bank Transfer,Completed
D700198,U134262,2026-03-14,76.04,Bank Transfer,Completed
D700199,U102351,2025-08-05,1158.43,Card,Completed
D700200,U142133,2026-08-06,172.85,Card,Failed
D700201,U118383,2025-11-13,164.09,Bank Transfer,Completed
D700202,U124355,2025-08-14,64.84,Bank Transfer,Completed
D700203,U133737,2025-10-08,545.21,Card,Completed
D700204,U125918,2026-07-06,163.3,Card,Completed
D700205,U133551,2026-03-18,111.49,Bank Transfer,Completed
D700206,U136203,2026-04-09,21.15,Card,Completed
D700207,U148861,2026-04-11,204.34,Bank Transfer,Completed
D700208,U136738,2025-05-01,332.26,Apple Pay,Completed
D700209,U137171,2025-09-29,1418.42,Card,Completed
D700210,U114312,2025-07-30,487.31,Bank Transfer,Completed
D700211,U147924,2026-06-30,439.8,Apple Pay,Completed
D700212,U105820,2025-09-28,355.09,Bank Transfer,Completed
D700213,U120342,2026-03-04,452.0,Bank Transfer,Completed
D700214,U104679,2026-01-17,100.8,Card,Completed
D700215,U142543,2025-09-23,119.76,Card,Completed
D700216,U118471,2026-06-10,298.84,Card,Completed
D700217,U121854,2025-10-12,140.25,Bank Transfer,Completed
D700218,U135132,2026-06-16,203.72,Apple Pay,Completed
D700219,U135255,2025-09-14,59.87,Bank Transfer,Completed
D700220,U108897,2025-04-19,314.77,Bank Transfer,Completed
D700221,U110813,2025-09-30,742.96,Card,Completed
D700222,U132920,2025-10-18,282.77,Bank Transfer,Completed
D700223,U132080,2025-09-17,834.39,Bank Transfer,Completed
D700224,U105338,2026-08-28,303.8,Bank Transfer,Completed
D700225,U130799,2025-04-01,148.2,Card,Completed
D700226,U119055,2026-03-10,579.34,Bank Transfer,Completed
D700227,U146877,2026-04-19,217.57,Bank Transfer,Completed
D700228,U145152,2025-06-24,70.64,Apple Pay,Completed
D700229,U112509,2026-05-04,75.58,Card,Completed
D700230,U115228,2026-01-03,481.76,Bank Transfer,Pending
D700231,U129343,2026-02-25,580.77,Apple Pay,Completed
D700232,U144339,2026-05-24,437.0,Bank Transfer,Completed
D700233,U126107,2025-06-23,220.84,Bank Transfer,Completed
D700234,U137358,2025-10-04,327.79,Bank Transfer,Completed
D700235,U102065,2025-05-27,93.32,Bank Transfer,Completed
D700236,U141813,2026-05-30,313.73,Card,Completed
D700237,U110272,2026-04-30,393.98,Apple Pay,Completed
D700238,U124805,2026-08-24,462.63,Bank Transfer,Completed
D700239,U127121,2025-10-18,474.18,Card,Failed
D700240,U131891,2025-12-30,899.31,Bank Transfer,Pending
D700241,U112313,2025-12-05,492.35,Bank Transfer,Completed
D700242,U106441,2026-06-11,1195.29,Bank Transfer,Completed
D700243,U124551,2026-07-11,576.29,Google Pay,Completed
D700244,U134435,2026-06-26,197.2,Bank Transfer,Completed
D700245,U113992,2026-01-03,23.04,Card,Completed
D700246,U128177,2026-02-07,77.26,Bank Transfer,Completed
D700247,U120006,2025-05-10,108.58,Apple Pay,Completed
D700248,U143384,2025-09-04,104.24,Card,Completed
D700249,U100123,2025-08-30,168.11,Apple Pay,Completed
D700250,U106872,2026-08-08,2351.42,Card,Completed
D700251,U147351,2026-04-05,886.77,Card,Completed
D700252,U129160,2026-06-26,158.0,Bank Transfer,Completed
D700253,U146433,2025-12-28,198.11,Apple Pay,Failed
D700254,U146336,2025-12-20,43.32,Card,Completed
D700255,U133281,2025-11-28,813.93,Bank Transfer,Completed
D700256,U128990,2026-02-01,118.03,Google Pay,Completed
D700257,U132143,2026-06-14,95.92,Bank Transfer,Completed
D700258,U113839,2025-07-14,91.17,Card,Completed
D700259,U122720,2026-04-03,369.3,Bank Transfer,Completed
D700260,U130220,2025-03-10,327.49,Google Pay,Completed
D700261,U117092,2026-03-01,295.94,Card,Pending
D700262,U119782,2025-10-19,376.46,Apple Pay,Completed
D700263,U145739,2025-07-28,171.2,Apple Pay,Completed
D700264,U107607,2026-08-26,442.92,Card,Completed
D700265,U117160,2025-11-14,153.63,Bank Transfer,Failed
D700266,U112883,2025-02-22,196.62,Card,Completed
D700267,U100686,2026-08-01,397.31,Apple Pay,Completed
D700268,U126898,2025-11-12,971.98,Bank Transfer,Completed
D700269,U103327,2025-09-14,76.88,Card,Pending
D700270,U121306,2025-06-22,1024.25,Card,Completed
D700271,U132220,2025-09-27,993.48,Card,Completed
D700272,U133613,2026-01-24,60.05,Card,Completed
D700273,U110896,2026-08-10,14.04,Bank Transfer,Completed
D700274,U103309,2025-04-06,223.46,Bank Transfer,Completed
D700275,U113001,2025-08-06,1050.43,Apple Pay,Pending
D700276,U116285,2026-08-10,111.73,Bank Transfer,Completed
D700277,U131021,2025-07-21,152.35,Bank Transfer,Completed
D700278,U111085,2025-11-09,279.28,Card,Completed
D700279,U123942,2026-03-09,247.27,Card,Completed
D700280,U131210,2025-08-13,494.11,Google Pay,Completed
D700281,U114806,2025-11-25,226.54,Google Pay,Pending
D700282,U119416,2026-02-02,266.1,Card,Completed
D700283,U143216,2025-09-08,1131.7,Apple Pay,Completed
D700284,U122105,2025-06-12,356.67,Bank Transfer,Completed
D700285,U111613,2026-07-28,653.8,Bank Transfer,Completed
D700286,U118224,2026-01-21,127.06,Card,Completed
D700287,U131877,2026-05-17,793.04,Card,Completed
D700288,U129579,2025-03-28,34.85,Bank Transfer,Completed
D700289,U100079,2026-05-01,524.56,Google Pay,Completed
D700290,U116394,2025-12-07,2191.33,Card,Completed
D700291,U136840,2025-07-08,152.22,Bank Transfer,Completed
D700292,U125379,2026-04-11,66.46,Card,Failed
D700293,U143286,2025-09-20,125.73,Google Pay,Completed
D700294,U101517,2026-02-16,509.91,Card,Completed
D700295,U118372,2026-01-16,3286.18,Card,Completed
D700296,U141225,2026-08-19,370.19,Apple Pay,Completed
D700297,U139853,2026-06-26,173.32,Bank Transfer,Completed
D700298,U132603,2025-06-24,161.18,Bank Transfer,Completed
D700299,U115900,2025-12-15,193.07,Card,Completed
D700300,U147869,2025-09-05,329.68,Google Pay,Completed
D700301,U102803,2026-01-14,197.1,Bank Transfer,Completed
D700302,U120635,2025-09-14,100.52,Google Pay,Completed
D700303,U135992,2026-06-14,534.51,Card,Completed
D700304,U148133,2026-03-25,163.08,Bank Transfer,Completed
D700305,U148175,2026-03-01,1624.55,Card,Completed
D700306,U133193,2025-06-12,38.38,Card,Completed
D700307,U100727,2025-11-17,457.11,Bank Transfer,Completed
D700308,U109905,2025-02-09,1679.96,Card,Completed
D700309,U109322,2025-06-16,869.01,Bank Transfer,Completed
D700310,U128480,2026-05-05,213.63,Bank Transfer,Completed
D700311,U146222,2026-01-25,618.92,Apple Pay,Completed
D700312,U115365,2025-09-14,1365.2,Google Pay,Completed
D700313,U146751,2026-02-27,174.52,Bank Transfer,Completed
D700314,U139042,2026-07-17,188.62,Card,Completed
D700315,U114153,2025-11-04,1055.35,Card,Completed
D700316,U118204,2026-02-16,163.28,Bank Transfer,Completed
D700317,U118140,2026-08-24,127.77,Bank Transfer,Completed
D700318,U147036,2025-04-03,1443.07,Bank Transfer,Completed
D700319,U142979,2025-08-08,206.2,Bank Transfer,Completed
D700320,U139171,2025-10-06,455.81,Card,Completed
D700321,U111965,2026-04-11,107.66,Bank Transfer,Completed
D700322,U124736,2026-07-28,101.71,Google Pay,Pending
D700323,U106307,2026-03-13,56.33,Bank Transfer,Failed
D700324,U141536,2026-06-01,230.52,Bank Transfer,Completed
D700325,U115587,2025-09-16,339.74,Bank Transfer,Completed
D700326,U115087,2026-01-10,574.19,Bank Transfer,Completed
D700327,U149740,2026-07-09,201.45,Card,Completed
D700328,U109668,2026-03-18,261.6,Card,Completed
D700329,U116683,2025-10-10,107.79,Card,Completed
D700330,U131054,2025-10-08,1538.47,Bank Transfer,Failed
D700331,U120517,2025-12-03,568.53,Bank Transfer,Completed
D700332,U117269,2025-11-15,105.08,Bank Transfer,Completed
D700333,U136029,2025-06-01,55.27,Google Pay,Completed
D700334,U100083,2025-04-23,2643.3,Apple Pay,Completed
D700335,U106719,2026-04-17,1007.93,Bank Transfer,Completed
D700336,U149346,2026-06-11,13.14,Apple Pay,Completed
D700337,U115843,2025-07-23,997.92,Apple Pay,Completed
D700338,U126363,2026-07-09,168.09,Card,Completed
D700339,U144285,2025-08-01,161.66,Card,Completed
D700340,U104093,2026-07-05,324.97,Apple Pay,Completed
D700341,U114060,2026-08-13,77.64,Bank Transfer,Completed
D700342,U140417,2025-05-28,1072.35,Card,Completed
D700343,U141765,2026-08-08,49.53,Card,Completed
D700344,U147488,2026-03-25,178.91,Google Pay,Completed
D700345,U101288,2026-05-08,683.39,Card,Completed
D700346,U146112,2025-06-24,680.16,Bank Transfer,Completed
D700347,U117060,2025-10-14,388.53,Bank Transfer,Completed
D700348,U145299,2025-09-14,376.24,Bank Transfer,Completed
D700349,U144381,2026-08-01,196.93,Card,Completed
D700350,U146896,2025-11-20,299.45,Google Pay,Pending
D700351,U149423,2025-01-28,657.64,Card,Completed
D700352,U142402,2025-04-17,127.36,Card,Completed
D700353,U121186,2026-05-28,81.74,Bank Transfer,Completed
D700354,U142326,2026-01-27,152.6,Google Pay,Completed
D700355,U148956,2026-03-25,616.21,Google Pay,Completed
D700356,U124399,2025-09-30,308.71,Bank Transfer,Completed
D700357,U136369,2025-05-09,145.42,Card,Completed
D700358,U135671,2025-02-15,37.27,Card,Completed
D700359,U124603,2025-04-30,119.5,Google Pay,Completed
D700360,U116354,2025-06-13,2055.21,Apple Pay,Completed
D700361,U145099,2026-01-09,254.63,Bank Transfer,Completed
D700362,U135406,2026-03-10,384.58,Google Pay,Completed
D700363,U148689,2026-03-12,2711.7,Card,Completed
D700364,U107670,2026-03-12,231.03,Bank Transfer,Completed
D700365,U140304,2025-10-26,271.18,Card,Completed
D700366,U129894,2025-07-29,342.44,Card,Completed
D700367,U113496,2026-04-03,432.39,Card,Completed
D700368,U132269,2026-07-07,457.45,Apple Pay,Completed
D700369,U101288,2025-09-08,795.01,Bank Transfer,Completed
D700370,U133979,2025-10-03,129.97,Bank Transfer,Completed
D700371,U115479,2025-10-12,123.03,Bank Transfer,Completed
D700372,U107963,2026-04-07,88.7,Bank Transfer,Completed
D700373,U144323,2025-03-12,1287.72,Card,Completed
D700374,U147024,2026-03-21,96.81,Bank Transfer,Completed
D700375,U140645,2025-09-05,231.85,Bank Transfer,Completed
D700376,U136501,2025-07-17,55.95,Card,Completed
D700377,U108498,2025-07-04,277.45,Bank Transfer,Completed
D700378,U143976,2025-11-04,219.64,Google Pay,Completed
D700379,U126337,2025-07-07,85.74,Bank Transfer,Completed
D700380,U117817,2026-03-21,1042.26,Apple Pay,Completed
D700381,U140834,2026-03-17,300.54,Google Pay,Completed
D700382,U103172,2025-06-06,20.69,Bank Transfer,Completed
D700383,U148246,2025-08-30,40.42,Google Pay,Pending
D700384,U104874,2025-10-08,55.16,Card,Completed
D700385,U131187,2025-06-29,262.17,Card,Failed
D700386,U144071,2026-06-07,1806.17,Bank Transfer,Completed
D700387,U135197,2026-03-30,1407.13,Bank Transfer,Completed
D700388,U149960,2025-07-15,544.04,Card,Completed
D700389,U118369,2026-07-17,65.09,Bank Transfer,Pending
D700390,U129683,2025-11-19,182.39,Apple Pay,Completed
D700391,U131968,2026-01-05,282.36,Bank Transfer,Completed
D700392,U135968,2026-03-03,255.84,Bank Transfer,Completed
D700393,U136951,2026-01-25,69.83,Apple Pay,Completed
D700394,U106369,2026-03-07,202.47,Card,Completed
D700395,U126616,2025-08-14,159.32,Bank Transfer,Completed
D700396,U118486,2026-02-06,285.05,Card,Completed
D700397,U106136,2026-02-04,208.55,Bank Transfer,Completed
D700398,U139836,2026-01-12,182.57,Google Pay,Completed
D700399,U109663,2026-05-19,725.73,Bank Transfer,Completed
D700400,U122646,2026-01-28,921.58,Google Pay,Completed
D700401,U136277,2026-05-01,68.46,Apple Pay,Completed
D700402,U135437,2026-05-05,555.2,Bank Transfer,Completed
D700403,U123496,2025-10-02,394.43,Bank Transfer,Completed
D700404,U116951,2025-09-12,441.34,Bank Transfer,Completed
D700405,U129144,2025-05-13,244.42,Google Pay,Completed
D700406,U115153,2025-12-16,291.98,Bank Transfer,Completed
D700407,U107168,2026-04-14,196.83,Bank Transfer,Completed
D700408,U110706,2026-03-08,111.06,Bank Transfer,Completed
D700409,U131605,2026-07-04,226.74,Bank Transfer,Completed
D700410,U147856,2026-05-10,74.31,Bank Transfer,Completed
D700411,U134229,2025-05-05,755.02,Bank Transfer,Completed
D700412,U135874,2026-07-07,168.62,Bank Transfer,Completed
D700413,U139549,2026-03-16,268.43,Card,Completed
D700414,U125547,2026-08-30,78.41,Bank Transfer,Completed
D700415,U105319,2026-02-19,11.72,Card,Completed
D700416,U103582,2026-05-06,294.13,Bank Transfer,Pending
D700417,U117965,2025-11-22,313.24,Card,Completed
D700418,U138859,2025-07-13,157.32,Card,Completed
D700419,U114374,2025-04-14,347.95,Card,Completed
D700420,U103971,2025-10-14,87.31,Bank Transfer,Completed
D700421,U148406,2026-04-04,413.31,Bank Transfer,Completed
D700422,U134989,2026-05-19,662.15,Bank Transfer,Completed
D700423,U105828,2025-11-30,461.75,Card,Completed
D700424,U132287,2026-03-02,183.35,Card,Failed
D700425,U109783,2026-08-07,228.8,Apple Pay,Completed
D700426,U125074,2025-06-04,671.03,Bank Transfer,Completed
D700427,U125315,2025-06-29,61.5,Google Pay,Completed
D700428,U101787,2026-07-11,124.1,Bank Transfer,Completed
D700429,U132978,2025-09-04,22.46,Apple Pay,Completed
D700430,U117709,2025-09-24,43.52,Bank Transfer,Completed
D700431,U116961,2025-08-12,286.86,Card,Completed
D700432,U131483,2026-08-04,104.46,Apple Pay,Completed
D700433,U104129,2026-08-16,109.86,Bank Transfer,Completed
D700434,U137120,2026-02-03,1075.13,Bank Transfer,Completed
D700435,U142017,2026-04-29,199.0,Apple Pay,Completed
D700436,U140456,2026-04-03,609.04,Card,Completed
D700437,U107482,2026-02-11,109.42,Card,Completed
D700438,U116056,2026-01-29,537.25,Card,Completed
D700439,U106446,2026-07-14,357.01,Bank Transfer,Completed
D700440,U146276,2025-07-04,159.77,Bank Transfer,Completed
D700441,U121982,2025-04-11,122.39,Card,Completed
D700442,U148825,2025-08-22,208.88,Card,Completed
D700443,U126532,2025-05-29,193.7,Bank Transfer,Failed
D700444,U123329,2025-05-17,72.99,Apple Pay,Pending
D700445,U123111,2026-04-06,140.08,Card,Completed
D700446,U104444,2026-01-18,599.06,Bank Transfer,Completed
D700447,U113846,2026-03-06,517.21,Bank Transfer,Completed
D700448,U136160,2025-10-13,35.46,Bank Transfer,Completed
D700449,U109418,2026-06-07,136.44,Bank Transfer,Completed
D700450,U139590,2025-09-02,142.56,Bank Transfer,Completed
D700451,U145498,2026-06-11,80.9,Card,Failed
D700452,U105141,2025-11-30,242.5,Bank Transfer,Completed
D700453,U131666,2026-03-07,109.53,Bank Transfer,Completed
D700454,U138394,2025-01-30,64.44,Bank Transfer,Completed
D700455,U114818,2026-04-27,179.86,Google Pay,Completed
D700456,U110810,2025-10-02,197.18,Card,Completed
D700457,U130996,2026-02-03,283.08,Bank Transfer,Completed
D700458,U138159,2026-03-18,94.27,Apple Pay,Completed
D700459,U122757,2026-08-25,11526.01,Bank Transfer,Completed
D700460,U145303,2026-06-07,78.4,Bank Transfer,Completed
D700461,U121749,2025-10-29,303.71,Bank Transfer,Completed
D700462,U115685,2026-01-22,494.9,Bank Transfer,Completed
D700463,U146767,2025-09-25,348.99,Card,Completed
D700464,U105776,2026-08-23,262.3,Google Pay,Completed
D700465,U116344,2025-05-12,286.87,Bank Transfer,Completed
D700466,U142365,2025-08-14,27.67,Card,Completed
D700467,U145119,2026-02-08,410.07,Bank Transfer,Completed
D700468,U140944,2026-06-08,161.88,Bank Transfer,Completed
D700469,U130543,2026-01-12,266.02,Card,Completed
D700470,U116199,2025-11-27,81.89,Bank Transfer,Completed
D700471,U124529,2026-07-18,63.04,Card,Completed
D700472,U145286,2026-07-07,325.74,Bank Transfer,Completed
D700473,U135688,2026-04-21,305.56,Bank Transfer,Completed
D700474,U115322,2026-04-26,2147.19,Card,Completed
D700475,U131611,2026-08-16,242.25,Bank Transfer,Completed
