user_id,kyc_started_date,kyc_completed_date,kyc_status,rejection_reason
U100169,2025-04-25,2025-04-26,Completed,
U100170,2025-03-25,2025-03-31,Completed,
U100171,2025-04-25,2025-04-25,Completed,
U100172,2025-01-04,2025-01-05,Completed,
U100173,2025-08-09,2025-08-12,Completed,
U100174,2026-07-24,2026-07-28,Completed,
U100175,2025-08-14,2025-08-14,Completed,
U100176,2026-01-20,2026-01-21,Completed,
U100177,2026-02-07,,Pending,
U100178,2025-05-13,2025-05-19,Completed,
U100179,2025-02-26,2025-03-02,Completed,
U100180,2026-02-21,2026-02-24,Completed,
U100181,2025-09-06,2025-09-10,Completed,
U100182,2026-03-19,2026-03-26,Completed,
U100183,2025-07-25,2025-07-26,Completed,
U100184,2025-07-05,2025-07-10,Completed,
U100185,2025-05-04,,Pending,
U100186,2026-02-08,2026-02-14,Completed,
U100187,2025-10-24,2025-10-28,Completed,
U100188,2025-10-10,2025-10-15,Completed,
U100189,2025-07-20,,Rejected,Document quality
U100190,2026-05-27,,Pending,
U100191,2025-05-24,2025-05-31,Completed,
U100192,2025-07-23,2025-07-30,Completed,
U100193,2025-05-07,2025-05-13,Completed,
U100194,2025-07-10,2025-07-10,Completed,
U100195,2025-11-25,2025-12-02,Completed,
U100196,2026-04-09,,Rejected,Address verification
U100197,2025-12-17,2025-12-20,Completed,
U100198,2026-02-10,2026-02-13,Completed,
U100199,2025-12-16,2025-12-20,Completed,
U100200,2026-05-26,2026-06-02,Completed,
U100201,2025-05-27,2025-05-28,Completed,
U100202,2025-05-31,2025-06-07,Completed,
U100203,2026-05-08,2026-05-12,Completed,
U100204,2026-07-09,2026-07-11,Completed,
U100205,2025-12-08,2025-12-08,Completed,
U100206,2026-04-20,2026-04-25,Completed,
U100207,2025-06-04,2025-06-11,Completed,
U100208,2026-02-19,,Rejected,Address verification
U100209,2025-10-29,2025-11-05,Completed,
U100210,2025-09-24,2025-09-28,Completed,
U100211,2025-05-24,2025-05-26,Completed,
U100212,2025-12-15,2025-12-20,Completed,
U100213,2026-07-30,2026-08-06,Completed,
U100214,2025-01-04,2025-01-06,Completed,
U100215,2025-11-03,2025-11-07,Completed,
U100216,2025-09-13,2025-09-20,Completed,
U100217,2026-04-02,2026-04-07,Completed,
U100218,2025-02-07,2025-02-09,Completed,
U100219,2025-06-10,2025-06-10,Completed,
U100220,2025-01-13,2025-01-19,Completed,
U100221,2025-08-25,,Rejected,Expired document
U100222,2025-04-11,2025-04-18,Completed,
U100223,2025-07-28,2025-07-29,Completed,
U100224,2025-05-12,2025-05-16,Completed,
U100225,2026-02-08,2026-02-12,Completed,
U100226,2025-06-01,2025-06-01,Completed,
U100227,2025-02-23,2025-02-25,Completed,
U100228,2025-05-03,2025-05-03,Completed,
U100229,2026-08-10,2026-08-13,Completed,
U100230,2026-02-26,2026-03-02,Completed,
U100231,2026-02-27,2026-03-06,Completed,
U100232,2025-04-15,2025-04-19,Completed,
U100233,2025-09-13,2025-09-18,Completed,
U100234,2025-08-19,2025-08-23,Completed,
U100235,2025-04-26,2025-05-02,Completed,
U100236,2026-05-28,2026-06-04,Completed,
U100237,2026-04-19,2026-04-26,Completed,
U100238,2025-04-11,2025-04-12,Completed,
U100239,2025-06-05,2025-06-11,Completed,
U100240,2025-12-07,2025-12-08,Completed,
U100241,2025-06-12,2025-06-15,Completed,
U100242,2025-06-12,2025-06-15,Completed,
U100243,2026-08-03,2026-08-09,Completed,
U100244,2026-02-05,2026-02-12,Completed,
U100245,2025-10-08,2025-10-12,Completed,
U100246,2026-05-22,2026-05-23,Completed,
U100247,2026-01-28,2026-01-29,Completed,
U100248,2025-05-16,2025-05-16,Completed,
U100249,2025-07-14,2025-07-14,Completed,
U100250,2026-02-05,2026-02-11,Completed,
U100251,2025-02-06,2025-02-08,Completed,
U100252,2026-04-05,2026-04-07,Completed,
U100253,2026-04-19,,Pending,
U100254,2026-01-12,2026-01-17,Completed,
U100255,2025-01-22,2025-01-28,Completed,
U100256,2025-02-10,2025-02-17,Completed,
U100257,2025-08-19,2025-08-20,Completed,
U100258,2026-01-04,,Rejected,Name mismatch
U100259,2026-07-21,2026-07-25,Completed,
U100260,2026-03-16,2026-03-21,Completed,
U100261,2025-10-14,2025-10-20,Completed,
U100262,2025-01-29,2025-01-31,Completed,
U100263,2025-08-16,2025-08-19,Completed,
U100264,2025-10-08,2025-10-11,Completed,
U100265,2025-10-15,2025-10-16,Completed,
U100266,2026-04-29,,Rejected,Expired document
U100267,2026-04-01,2026-04-08,Completed,
U100268,2026-06-03,2026-06-03,Completed,
U100269,2026-07-01,2026-07-05,Completed,
U100270,2025-07-15,2025-07-22,Completed,
U100271,2025-02-18,2025-02-21,Completed,
U100272,2026-05-30,2026-06-03,Completed,
U100273,2025-01-20,2025-01-23,Completed,
U100274,2025-06-23,2025-06-24,Completed,
U100275,2025-08-11,2025-08-12,Completed,
U100276,2025-06-09,2025-06-15,Completed,
U100277,2026-04-22,2026-04-23,Completed,
U100278,2025-02-17,2025-02-17,Completed,
U100279,2026-01-10,,Rejected,Address verification
U100280,2026-06-03,2026-06-03,Completed,
U100281,2025-04-09,2025-04-13,Completed,
U100282,2025-02-07,,Pending,
U100283,2025-10-11,2025-10-12,Completed,
U100284,2025-12-18,2025-12-21,Completed,
U100285,2026-05-13,2026-05-15,Completed,
U100286,2025-10-30,2025-11-02,Completed,
U100287,2025-06-30,2025-07-03,Completed,
U100288,2026-08-31,2026-09-03,Completed,
U100289,2025-04-09,2025-04-09,Completed,
U100290,2025-04-30,2025-05-02,Completed,
U100291,2025-07-11,2025-07-17,Completed,
U100292,2025-09-12,2025-09-19,Completed,
U100293,2025-06-12,2025-06-15,Completed,
U100294,2025-09-16,2025-09-17,Completed,
U100295,2025-11-19,2025-11-22,Completed,
U100296,2025-05-08,,Rejected,Document quality
U100297,2025-01-22,2025-01-29,Completed,
U100298,2026-07-21,2026-07-22,Completed,
U100299,2026-07-28,,Rejected,Address verification
U100300,2025-11-22,,Rejected,Document quality
U100301,2025-10-17,,Pending,
U100302,2025-06-08,2025-06-11,Completed,
U100303,2026-05-08,2026-05-15,Completed,
U100304,2026-01-25,2026-01-26,Completed,
U100305,2025-04-14,2025-04-20,Completed,
U100306,2026-01-29,2026-02-02,Completed,
U100307,2025-09-05,2025-09-10,Completed,
U100308,2025-06-28,2025-06-29,Completed,
U100309,2025-02-09,2025-02-09,Completed,
U100310,2026-04-24,2026-04-24,Completed,
U100311,2026-06-26,2026-06-27,Completed,
U100312,2026-02-13,2026-02-14,Completed,
U100313,2026-06-11,2026-06-11,Completed,
U100314,2026-05-24,2026-05-28,Completed,
U100315,2025-02-08,2025-02-08,Completed,
U100316,2025-01-21,2025-01-23,Completed,
U100317,2025-11-21,2025-11-21,Completed,
U100318,2026-05-30,2026-06-05,Completed,
U100319,2026-02-07,2026-02-09,Completed,
U100320,2026-04-19,2026-04-22,Completed,
U100321,2025-05-24,2025-05-24,Completed,
U100322,2025-04-02,2025-04-04,Completed,
U100323,2025-12-21,2025-12-28,Completed,
U100324,2025-02-20,2025-02-24,Completed,
U100325,2026-07-31,2026-08-07,Completed,
U100326,2025-07-12,,Pending,
U100327,2025-05-05,2025-05-07,Completed,
U100328,2025-06-03,2025-06-04,Completed,
U100329,2025-11-11,,Rejected,Name mismatch
U100330,2026-07-24,2026-07-25,Completed,
U100331,2025-12-11,2025-12-12,Completed,
U100332,2025-11-03,2025-11-06,Completed,
U100333,2025-02-24,2025-02-25,Completed,
U100334,2026-03-23,2026-03-29,Completed,
U100335,2025-09-21,2025-09-22,Completed,
U100336,2025-02-23,2025-02-24,Completed,
U100337,2026-07-26,2026-07-27,Completed,
U100338,2025-01-09,2025-01-12,Completed,
U100339,2025-04-14,2025-04-14,Completed,
U100340,2025-07-19,2025-07-26,Completed,
U100341,2025-12-16,2025-12-20,Completed,
U100342,2025-02-19,,Rejected,Expired document
U100343,2025-09-28,2025-09-28,Completed,
U100344,2026-01-08,2026-01-11,Completed,
U100345,2025-04-19,2025-04-24,Completed,
U100346,2025-05-04,2025-05-06,Completed,
U100347,2026-08-30,2026-09-03,Completed,
U100348,2025-02-27,2025-02-27,Completed,
U100349,2025-12-16,2025-12-20,Completed,
U100350,2026-04-20,2026-04-26,Completed,
U100351,2025-04-28,2025-04-30,Completed,
U100352,2025-05-08,2025-05-10,Completed,
U100353,2026-02-01,2026-02-08,Completed,
U100354,2025-02-28,,Pending,
U100355,2026-05-31,2026-06-05,Completed,
U100356,2025-04-06,2025-04-07,Completed,
U100357,2025-04-28,2025-04-28,Completed,
U100358,2026-07-15,,Pending,
U100359,2026-08-24,2026-08-24,Completed,
U100360,2026-05-04,2026-05-07,Completed,
U100361,2025-08-28,2025-09-04,Completed,
U100362,2025-10-02,2025-10-07,Completed,
U100363,2025-07-12,2025-07-13,Completed,
U100364,2026-03-23,2026-03-23,Completed,
U100365,2026-08-07,2026-08-10,Completed,
U100366,2025-09-06,2025-09-13,Completed,
U100367,2025-03-21,2025-03-24,Completed,
U100368,2025-06-06,2025-06-13,Completed,
U100369,2026-03-14,2026-03-16,Completed,
U100370,2025-03-28,2025-04-03,Completed,
U100371,2025-10-15,,Pending,
U100372,2025-08-09,2025-08-14,Completed,
U100373,2025-03-11,2025-03-16,Completed,
U100374,2025-02-20,2025-02-24,Completed,
U100375,2025-04-06,,Pending,
U100376,2026-03-29,2026-03-31,Completed,
U100377,2025-07-23,2025-07-23,Completed,
U100378,2025-08-07,2025-08-14,Completed,
U100379,2026-04-23,,Pending,
U100380,2026-03-12,2026-03-19,Completed,
U100381,2025-12-11,2025-12-12,Completed,
U100382,2026-07-08,2026-07-08,Completed,
U100383,2025-10-16,2025-10-20,Completed,
U100384,2025-09-15,2025-09-20,Completed,
U100385,2025-12-26,2026-01-01,Completed,
U100386,2025-01-27,,Pending,
U100387,2026-06-08,2026-06-14,Completed,
U100388,2025-04-11,2025-04-12,Completed,
U100389,2025-06-29,,Pending,
U100390,2025-08-11,2025-08-13,Completed,
U100391,2026-03-20,2026-03-24,Completed,
U100392,2026-09-02,2026-09-04,Completed,
U100393,2025-11-21,2025-11-21,Completed,
U100394,2026-06-04,2026-06-07,Completed,
U100395,2025-01-17,2025-01-17,Completed,
U100396,2025-12-02,2025-12-05,Completed,
U100397,2025-09-17,2025-09-18,Completed,
U100398,2026-05-15,,Rejected,Expired document
U100399,2025-06-13,2025-06-13,Completed,
U100400,2026-04-22,2026-04-29,Completed,
U100401,2026-01-17,2026-01-17,Completed,
U100402,2026-06-29,2026-07-05,Completed,
U100403,2026-03-05,2026-03-10,Completed,
U100404,2025-09-27,2025-10-03,Completed,
U100405,2026-08-02,,Rejected,Address verification
U100406,2026-02-25,2026-02-25,Completed,
U100407,2025-06-21,2025-06-22,Completed,
U100408,2025-02-13,,Pending,
U100409,2026-07-14,,Pending,
U100410,2025-10-12,2025-10-17,Completed,
U100411,2026-02-03,2026-02-07,Completed,
U100412,2025-01-14,2025-01-14,Completed,
U100413,2026-08-30,2026-09-03,Completed,
U100414,2025-10-30,2025-11-03,Completed,
U100415,2025-09-10,2025-09-15,Completed,
U100416,2026-05-16,2026-05-20,Completed,
U100417,2025-02-08,,Pending,
U100418,2025-04-03,2025-04-08,Completed,
U100419,2026-08-28,,Rejected,Document quality
U100420,2026-08-28,2026-08-31,Completed,
U100421,2026-02-22,2026-02-26,Completed,
U100422,2025-04-28,2025-05-03,Completed,
U100423,2025-07-16,2025-07-17,Completed,
U100424,2026-05-19,2026-05-21,Completed,
U100425,2026-05-10,2026-05-10,Completed,
U100426,2025-03-16,2025-03-21,Completed,
U100427,2026-02-17,,Rejected,Name mismatch
U100428,2026-01-12,,Pending,
U100429,2026-02-26,2026-03-05,Completed,
U100430,2025-10-07,2025-10-11,Completed,
U100431,2026-01-30,,Rejected,Name mismatch
U100432,2026-04-06,,Pending,
U100433,2025-07-15,2025-07-19,Completed,
U100434,2025-04-09,2025-04-13,Completed,
U100435,2026-07-03,2026-07-04,Completed,
U100436,2025-04-06,2025-04-08,Completed,
U100437,2025-07-10,2025-07-13,Completed,
U100438,2025-02-10,,Pending,
U100439,2026-01-05,2026-01-09,Completed,
U100440,2026-06-09,2026-06-11,Completed,
U100441,2025-10-09,2025-10-10,Completed,
U100442,2025-08-05,,Rejected,Name mismatch
U100443,2025-10-04,2025-10-08,Completed,
U100444,2025-03-04,2025-03-09,Completed,
U100445,2026-08-19,2026-08-19,Completed,
U100446,2025-12-08,2025-12-09,Completed,
U100447,2026-02-04,2026-02-05,Completed,
U100448,2025-01-23,2025-01-30,Completed,
U100449,2025-06-26,2025-06-26,Completed,
U100450,2026-02-03,2026-02-09,Completed,
U100451,2026-03-21,2026-03-23,Completed,
U100452,2025-08-24,2025-08-28,Completed,
U100453,2025-03-17,2025-03-22,Completed,
U100454,2025-09-22,,Rejected,Address verification
U100455,2026-04-01,2026-04-08,Completed,
U100456,2026-01-21,2026-01-28,Completed,
U100457,2026-07-21,2026-07-27,Completed,
U100458,2026-05-22,2026-05-22,Completed,
U100459,2026-01-04,2026-01-05,Completed,
U100460,2025-05-27,2025-06-03,Completed,
U100461,2025-03-13,2025-03-16,Completed,
U100462,2025-04-09,2025-04-11,Completed,
U100463,2026-01-31,2026-02-03,Completed,
U100464,2025-01-27,2025-01-31,Completed,
U100465,2026-04-16,,Rejected,Document quality
U100466,2026-05-03,2026-05-08,Completed,
U100467,2026-07-19,2026-07-21,Completed,
U100468,2025-06-01,2025-06-07,Completed,
U100469,2025-05-27,2025-05-30,Completed,
U100470,2026-07-27,2026-07-30,Completed,
U100471,2025-02-10,2025-02-15,Completed,
U100472,2025-04-19,2025-04-19,Completed,
U100473,2025-02-13,2025-02-18,Completed,
U100474,2025-07-08,2025-07-12,Completed,
U100475,2026-02-04,2026-02-06,Completed,
U100476,2025-08-14,2025-08-17,Completed,
U100477,2025-05-16,2025-05-20,Completed,
U100478,2025-06-14,2025-06-15,Completed,
U100479,2025-08-03,,Pending,
U100480,2025-08-26,2025-08-27,Completed,
U100481,2026-08-15,2026-08-17,Completed,
U100482,2025-01-10,2025-01-17,Completed,
U100483,2025-03-18,2025-03-19,Completed,
U100484,2026-05-10,2026-05-12,Completed,
U100485,2025-09-14,2025-09-19,Completed,
U100486,2025-08-19,2025-08-24,Completed,
U100487,2026-06-05,2026-06-05,Completed,
U100488,2025-06-27,,Rejected,Name mismatch
U100489,2025-06-19,2025-06-25,Completed,
U100490,2025-06-21,2025-06-21,Completed,
U100491,2026-01-28,2026-02-04,Completed,
U100492,2025-07-13,2025-07-15,Completed,
U100493,2026-06-03,2026-06-09,Completed,
U100494,2025-02-01,2025-02-04,Completed,
U100495,2025-06-15,2025-06-15,Completed,
U100496,2026-02-28,2026-02-28,Completed,
U100497,2025-12-06,2025-12-12,Completed,
U100498,2026-05-15,,Pending,
U100499,2026-01-02,2026-01-04,Completed,
U100500,2025-12-12,2025-12-13,Completed,
U100501,2026-05-15,2026-05-20,Completed,
U100502,2026-05-28,2026-05-29,Completed,
U100503,2025-11-24,2025-11-27,Completed,
U100504,2025-08-05,2025-08-10,Completed,
U100505,2025-10-28,2025-11-04,Completed,
U100506,2025-05-16,2025-05-22,Completed,
U100507,2025-03-12,2025-03-17,Completed,
U100508,2025-09-09,,Pending,
U100509,2026-02-20,,Rejected,Name mismatch
U100510,2026-03-22,2026-03-24,Completed,
U100511,2025-07-05,2025-07-06,Completed,
U100512,2025-06-17,2025-06-24,Completed,
U100513,2025-04-01,2025-04-03,Completed,
U100514,2026-06-17,2026-06-24,Completed,
U100515,2025-02-08,2025-02-14,Completed,
U100516,2025-05-08,2025-05-14,Completed,
U100517,2026-03-30,2026-04-03,Completed,
U100518,2025-06-23,,Pending,
U100519,2025-08-08,2025-08-08,Completed,
U100520,2025-03-03,2025-03-07,Completed,
U100521,2026-04-24,2026-04-29,Completed,
U100522,2026-04-03,2026-04-08,Completed,
U100523,2025-12-29,2026-01-02,Completed,
U100524,2025-01-03,2025-01-05,Completed,
U100525,2026-01-25,,Rejected,Name mismatch
U100526,2025-12-17,2025-12-23,Completed,
U100527,2025-07-11,2025-07-14,Completed,
U100528,2026-05-21,2026-05-25,Completed,
U100529,2025-07-11,2025-07-18,Completed,
U100530,2026-05-26,2026-05-29,Completed,
U100531,2026-01-05,2026-01-08,Completed,
U100532,2026-02-13,2026-02-19,Completed,
U100533,2025-04-29,2025-05-04,Completed,
U100534,2025-05-16,2025-05-22,Completed,
U100535,2025-03-02,2025-03-07,Completed,
U100536,2026-07-12,2026-07-15,Completed,
U100537,2025-06-23,2025-06-24,Completed,
U100538,2025-06-02,2025-06-08,Completed,
U100539,2025-03-25,2025-03-25,Completed,
U100540,2025-08-01,2025-08-08,Completed,
U100541,2025-07-23,2025-07-27,Completed,
U100542,2025-08-20,2025-08-24,Completed,
U100543,2025-08-19,,Rejected,Address verification
U100544,2026-06-17,2026-06-19,Completed,
U100545,2026-03-18,2026-03-24,Completed,
U100546,2026-02-10,,Rejected,Expired document
U100547,2025-02-18,,Rejected,Expired document
U100548,2025-08-22,2025-08-26,Completed,
U100549,2025-11-05,2025-11-07,Completed,
U100550,2026-06-14,2026-06-21,Completed,
U100551,2025-05-26,2025-05-28,Completed,
U100552,2026-02-21,2026-02-26,Completed,
U100553,2026-06-01,2026-06-08,Completed,
U100554,2026-01-11,2026-01-14,Completed,
U100555,2026-07-20,2026-07-24,Completed,
U100556,2025-09-20,2025-09-23,Completed,
U100557,2026-04-17,2026-04-17,Completed,
U100558,2025-01-12,2025-01-15,Completed,
U100559,2025-11-28,2025-11-28,Completed,
U100560,2025-12-27,2025-12-29,Completed,
U100561,2026-02-13,2026-02-15,Completed,
U100562,2026-01-12,2026-01-19,Completed,
U100563,2025-01-12,2025-01-19,Completed,
U100564,2025-05-04,2025-05-08,Completed,
U100565,2025-12-15,2025-12-21,Completed,
U100566,2025-04-03,2025-04-04,Completed,
U100567,2025-11-15,2025-11-19,Completed,
U100568,2025-07-01,2025-07-01,Completed,
U100569,2026-06-25,2026-07-02,Completed,
U100570,2025-02-12,2025-02-19,Completed,
U100571,2026-05-20,2026-05-25,Completed,
U100572,2025-05-26,,Rejected,Address verification
U100573,2025-07-21,,Pending,
U100574,2026-04-06,2026-04-13,Completed,
U100575,2026-07-14,2026-07-19,Completed,
U100576,2026-07-04,,Pending,
U100577,2025-09-10,2025-09-12,Completed,
U100578,2026-01-28,2026-02-01,Completed,
U100579,2026-08-18,2026-08-22,Completed,
U100580,2025-09-14,,Rejected,Name mismatch
U100581,2026-03-26,,Pending,
U100582,2025-01-14,2025-01-20,Completed,
U100583,2025-08-31,,Rejected,Address verification
U100584,2025-09-10,2025-09-14,Completed,
U100585,2025-01-08,2025-01-13,Completed,
U100586,2025-05-03,2025-05-08,Completed,
U100587,2026-01-09,,Rejected,Name mismatch
U100588,2025-03-08,2025-03-11,Completed,
U100589,2025-05-28,2025-05-31,Completed,
U100590,2025-08-16,,Pending,
U100591,2025-08-30,2025-09-02,Completed,
U100592,2025-06-30,2025-07-03,Completed,
U100593,2025-10-13,2025-10-17,Completed,
U100594,2025-03-07,2025-03-11,Completed,
U100595,2025-08-07,2025-08-07,Completed,
U100596,2026-04-08,2026-04-11,Completed,
U100597,2025-04-15,2025-04-21,Completed,
U100598,2025-04-10,2025-04-10,Completed,
U100599,2026-05-30,2026-06-02,Completed,
U100600,2026-01-20,2026-01-21,Completed,
U100601,2026-02-10,2026-02-14,Completed,
U100602,2026-06-02,2026-06-03,Completed,
U100603,2026-04-22,2026-04-27,Completed,
U100604,2026-03-13,,Pending,
U100605,2025-01-24,2025-01-31,Completed,
U100606,2026-07-20,2026-07-27,Completed,
U100607,2026-04-04,2026-04-09,Completed,
U100608,2025-03-26,2025-03-26,Completed,
U100609,2025-05-26,,Rejected,Address verification
U100610,2025-03-30,2025-04-04,Completed,
U100611,2025-03-21,2025-03-27,Completed,
U100612,2026-04-06,2026-04-06,Completed,
U100613,2025-01-04,2025-01-11,Completed,
U100614,2025-02-20,2025-02-21,Completed,
U100615,2026-03-25,2026-03-28,Completed,
U100616,2026-03-27,2026-04-02,Completed,
