user_id,signup_date,country,age_group,acquisition_channel,device_type,account_status
U100122,2026-07-18,Spain,25-34,Paid Search,iOS,Active
U100123,2025-04-06,Ireland,35-44,Social,Android,Active
U100124,2026-04-30,Switzerland,55+,Referral,Android,Active
U100125,2026-02-11,Switzerland,25-34,Direct,Web,Active
U100126,2025-08-19,Germany,25-34,Organic,iOS,Active
U100127,2025-06-20,Denmark,55+,Referral,iOS,Active
U100128,2026-06-25,Netherlands,25-34,Social,iOS,Active
U100129,2025-02-05,Poland,18-24,Paid Search,iOS,Active
U100130,2026-06-09,India,45-54,Social,Android,Active
U100131,2025-06-09,Italy,25-34,Organic,iOS,Inactive
U100132,2025-08-31,Portugal,25-34,Social,iOS,Active
U100133,2025-03-27,Netherlands,25-34,Affiliate,Android,Active
U100134,2026-08-01,Switzerland,55+,Organic,iOS,Inactive
U100135,2026-07-11,India,45-54,Organic,iOS,Active
U100136,2026-07-28,Austria,35-44,Organic,iOS,Inactive
U100137,2025-01-28,Switzerland,25-34,Social,Web,Suspended
U100138,2026-07-10,Poland,25-34,Affiliate,Web,Active
U100139,2025-12-06,Sweden,55+,Organic,iOS,Active
U100140,2025-11-27,Belgium,35-44,Organic,Android,Active
U100141,2026-05-21,Portugal,25-34,Organic,Web,Inactive
U100142,2025-12-14,Denmark,55+,Social,iOS,Active
U100143,2026-04-18,Switzerland,55+,Email,Android,Active
U100144,2025-08-19,Poland,35-44,Paid Search,iOS,Inactive
U100145,2025-07-09,Sweden,55+,Social,Android,Inactive
U100146,2025-08-13,United Kingdom,25-34,Organic,iOS,Inactive
U100147,2026-01-20,France,35-44,Organic,Android,Inactive
U100148,2026-01-12,Switzerland,25-34,Organic,Android,Active
U100149,2025-10-10,Poland,35-44,Organic,Android,Inactive
U100150,2025-09-16,Italy,55+,Paid Search,Web,Active
U100151,2025-12-25,Switzerland,35-44,Organic,iOS,Inactive
U100152,2026-04-01,Belgium,45-54,Paid Search,iOS,Active
U100153,2026-02-15,Poland,25-34,Organic,iOS,Inactive
U100154,2025-11-14,India,35-44,Social,Android,Active
U100155,2025-08-13,Poland,18-24,Organic,Android,Inactive
U100156,2025-08-22,United Kingdom,18-24,Referral,iOS,Active
U100157,2026-01-09,Ireland,35-44,Paid Search,Web,Active
U100158,2026-08-31,France,35-44,Referral,Android,Inactive
U100159,2026-04-17,Portugal,25-34,Social,iOS,Active
U100160,2025-08-21,Austria,35-44,Organic,iOS,Active
U100161,2025-04-23,Germany,35-44,Direct,Web,Inactive
U100162,2026-05-12,Netherlands,35-44,Social,iOS,Inactive
U100163,2026-03-18,Netherlands,18-24,Referral,Android,Inactive
U100164,2026-07-18,Denmark,35-44,Email,Android,Active
U100165,2025-09-25,Belgium,35-44,Organic,iOS,Active
U100166,2026-05-25,India,35-44,Paid Search,Android,Active
U100167,2026-01-21,Ireland,45-54,Organic,iOS,Active
U100168,2026-01-22,United Kingdom,35-44,Paid Search,Android,Active
U100169,2025-04-23,Portugal,55+,Referral,Web,Active
U100170,2025-03-22,Austria,55+,Affiliate,Android,Inactive
U100171,2025-04-23,Poland,45-54,Organic,Web,Active
U100172,2025-01-02,Austria,25-34,Social,Web,Inactive
U100173,2025-08-08,Spain,25-34,Organic,Android,Active
U100174,2026-07-20,France,45-54,Referral,Web,Active
U100175,2025-08-13,Denmark,25-34,Organic,iOS,Inactive
U100176,2026-01-20,Ireland,25-34,Affiliate,iOS,Active
U100177,2026-02-07,Poland,55+,Paid Search,Web,Active
U100178,2025-05-10,India,35-44,Email,Android,Active
U100179,2025-02-22,Spain,25-34,Paid Search,Android,Active
U100180,2026-02-20,Germany,55+,Paid Search,iOS,Active
U100181,2025-09-04,Denmark,35-44,Paid Search,Android,Active
U100182,2026-03-15,United Kingdom,35-44,Paid Search,Android,Active
U100183,2025-07-22,Denmark,25-34,Referral,Android,Active
U100184,2025-07-03,Ireland,35-44,Paid Search,Web,Inactive
U100185,2025-05-03,Netherlands,35-44,Organic,Android,Active
U100186,2026-02-05,Denmark,35-44,Social,iOS,Active
U100187,2025-10-21,France,25-34,Paid Search,iOS,Active
U100188,2025-10-07,India,35-44,Social,Android,Active
U100189,2025-07-17,Germany,35-44,Paid Search,iOS,Active
U100190,2026-05-26,Denmark,45-54,Paid Search,iOS,Active
U100191,2025-05-24,Poland,35-44,Social,Android,Active
U100192,2025-07-20,Germany,25-34,Organic,Android,Active
U100193,2025-05-04,Germany,25-34,Organic,iOS,Inactive
U100194,2025-07-06,Italy,35-44,Organic,Web,Active
U100195,2025-11-22,India,35-44,Paid Search,Web,Active
U100196,2026-04-09,Sweden,25-34,Organic,Android,Active
U100197,2025-12-15,Spain,25-34,Referral,Android,Active
U100198,2026-02-07,Sweden,18-24,Organic,iOS,Active
U100199,2025-12-12,Spain,25-34,Organic,iOS,Inactive
U100200,2026-05-26,United Kingdom,18-24,Affiliate,iOS,Active
U100201,2025-05-27,Germany,45-54,Referral,iOS,Suspended
U100202,2025-05-28,Poland,35-44,Direct,Web,Active
U100203,2026-05-04,India,55+,Organic,iOS,Inactive
U100204,2026-07-05,United Kingdom,45-54,Organic,iOS,Active
U100205,2025-12-04,Netherlands,35-44,Paid Search,iOS,Inactive
U100206,2026-04-18,Switzerland,35-44,Paid Search,iOS,Active
U100207,2025-05-31,Italy,45-54,Organic,Android,Active
U100208,2026-02-19,Spain,25-34,Organic,iOS,Active
U100209,2025-10-25,India,25-34,Organic,Android,Active
U100210,2025-09-20,Poland,25-34,Direct,Android,Inactive
U100211,2025-05-24,Italy,18-24,Direct,Android,Active
U100212,2025-12-12,Italy,25-34,Email,iOS,Active
U100213,2026-07-26,Ireland,18-24,Social,iOS,Inactive
U100214,2025-01-02,Poland,18-24,Organic,Web,Active
U100215,2025-10-31,Germany,35-44,Email,iOS,Active
U100216,2025-09-11,France,35-44,Social,Android,Active
U100217,2026-03-29,France,35-44,Paid Search,Android,Active
U100218,2025-02-06,France,18-24,Email,Android,Active
U100219,2025-06-09,Ireland,25-34,Organic,Web,Active
U100220,2025-01-09,Germany,25-34,Direct,iOS,Inactive
U100221,2025-08-21,Ireland,35-44,Paid Search,Android,Active
U100222,2025-04-09,Sweden,45-54,Direct,iOS,Suspended
U100223,2025-07-27,Portugal,25-34,Social,iOS,Active
U100224,2025-05-11,Germany,18-24,Organic,iOS,Active
U100225,2026-02-08,Sweden,25-34,Email,Android,Suspended
U100226,2025-06-01,Portugal,25-34,Referral,Android,Inactive
U100227,2025-02-23,Germany,25-34,Direct,Android,Active
U100228,2025-04-30,Sweden,25-34,Social,iOS,Inactive
U100229,2026-08-10,Ireland,25-34,Direct,iOS,Active
U100230,2026-02-24,Switzerland,55+,Social,iOS,Active
U100231,2026-02-26,Belgium,45-54,Direct,iOS,Active
U100232,2025-04-14,Portugal,35-44,Email,Android,Active
U100233,2025-09-11,France,45-54,Paid Search,Android,Active
U100234,2025-08-15,Denmark,18-24,Social,Android,Active
U100235,2025-04-22,Denmark,25-34,Affiliate,iOS,Active
U100236,2026-05-25,Italy,25-34,Referral,iOS,Inactive
U100237,2026-04-18,Portugal,35-44,Paid Search,Android,Inactive
U100238,2025-04-09,India,45-54,Referral,Android,Active
U100239,2025-06-02,Poland,25-34,Paid Search,iOS,Active
U100240,2025-12-04,Denmark,25-34,Social,Android,Active
U100241,2025-06-12,Belgium,45-54,Email,Android,Inactive
U100242,2025-06-10,Austria,25-34,Social,Android,Inactive
U100243,2026-08-03,Germany,35-44,Organic,iOS,Inactive
U100244,2026-02-02,Portugal,35-44,Organic,iOS,Active
U100245,2025-10-04,Sweden,25-34,Paid Search,Web,Active
U100246,2026-05-19,India,35-44,Social,Android,Active
U100247,2026-01-27,Germany,25-34,Affiliate,iOS,Inactive
U100248,2025-05-15,Denmark,25-34,Paid Search,Web,Active
U100249,2025-07-14,Belgium,45-54,Referral,iOS,Active
U100250,2026-02-05,Portugal,18-24,Paid Search,Android,Inactive
U100251,2025-02-02,Italy,25-34,Referral,Web,Active
U100252,2026-04-05,Ireland,25-34,Referral,Web,Active
U100253,2026-04-15,Sweden,18-24,Organic,Android,Active
U100254,2026-01-10,India,18-24,Affiliate,Android,Active
U100255,2025-01-22,United Kingdom,25-34,Referral,iOS,Active
U100256,2025-02-07,Denmark,35-44,Email,Android,Active
U100257,2025-08-18,Denmark,25-34,Referral,Android,Active
U100258,2025-12-31,Italy,45-54,Social,iOS,Inactive
U100259,2026-07-17,Sweden,25-34,Paid Search,Android,Active
U100260,2026-03-14,Italy,35-44,Paid Search,iOS,Active
U100261,2025-10-10,Netherlands,25-34,Direct,iOS,Inactive
U100262,2025-01-27,Denmark,18-24,Affiliate,iOS,Active
U100263,2025-08-14,France,25-34,Direct,Web,Active
U100264,2025-10-04,Italy,45-54,Organic,Android,Active
U100265,2025-10-11,Italy,18-24,Referral,Web,Active
U100266,2026-04-26,Portugal,25-34,Organic,Web,Active
U100267,2026-03-29,France,18-24,Social,iOS,Suspended
U100268,2026-05-31,Denmark,35-44,Affiliate,iOS,Inactive
U100269,2026-07-01,Portugal,55+,Affiliate,iOS,Active
U100270,2025-07-11,India,25-34,Paid Search,iOS,Inactive
U100271,2025-02-18,Ireland,35-44,Social,iOS,Active
U100272,2026-05-27,United Kingdom,25-34,Social,Web,Suspended
U100273,2025-01-17,France,55+,Paid Search,Web,Active
U100274,2025-06-21,Belgium,35-44,Paid Search,iOS,Inactive
U100275,2025-08-08,Belgium,18-24,Email,Android,Active
U100276,2025-06-07,Netherlands,25-34,Paid Search,Web,Active
U100277,2026-04-22,Ireland,25-34,Social,Android,Active
U100278,2025-02-15,India,35-44,Social,Android,Active
U100279,2026-01-08,Spain,25-34,Social,Android,Active
U100280,2026-06-02,Austria,35-44,Email,iOS,Active
U100281,2025-04-09,Denmark,35-44,Organic,iOS,Active
U100282,2025-02-06,Poland,25-34,Organic,Web,Active
U100283,2025-10-07,Portugal,35-44,Referral,iOS,Active
U100284,2025-12-15,Portugal,55+,Email,iOS,Active
U100285,2026-05-12,Switzerland,25-34,Direct,iOS,Inactive
U100286,2025-10-29,Switzerland,45-54,Affiliate,iOS,Active
U100287,2025-06-30,Spain,18-24,Social,Android,Active
U100288,2026-08-30,Spain,18-24,Social,Android,Inactive
U100289,2025-04-09,France,55+,Organic,iOS,Suspended
U100290,2025-04-26,Spain,35-44,Email,Android,Active
U100291,2025-07-10,Germany,35-44,Referral,iOS,Active
U100292,2025-09-10,United Kingdom,25-34,Paid Search,iOS,Active
U100293,2025-06-10,Austria,25-34,Referral,Android,Active
U100294,2025-09-13,Sweden,25-34,Organic,Web,Active
U100295,2025-11-19,Denmark,35-44,Affiliate,Android,Inactive
U100296,2025-05-08,United Kingdom,35-44,Organic,iOS,Active
U100297,2025-01-18,Austria,25-34,Paid Search,Android,Active
U100298,2026-07-20,Germany,25-34,Affiliate,iOS,Active
U100299,2026-07-24,Switzerland,35-44,Direct,Android,Active
U100300,2025-11-19,Portugal,55+,Organic,Web,Active
U100301,2025-10-15,Poland,35-44,Affiliate,Web,Active
U100302,2025-06-04,United Kingdom,35-44,Social,Web,Active
U100303,2026-05-05,Belgium,45-54,Referral,iOS,Active
U100304,2026-01-21,Switzerland,25-34,Organic,Android,Active
U100305,2025-04-14,Sweden,25-34,Paid Search,iOS,Active
U100306,2026-01-28,Netherlands,35-44,Email,Web,Active
U100307,2025-09-03,Netherlands,45-54,Organic,Android,Active
U100308,2025-06-25,Denmark,35-44,Direct,Android,Active
U100309,2025-02-08,Netherlands,25-34,Paid Search,iOS,Active
U100310,2026-04-22,Spain,25-34,Referral,iOS,Active
U100311,2026-06-22,Netherlands,35-44,Paid Search,iOS,Inactive
U100312,2026-02-12,Netherlands,35-44,Social,Android,Active
U100313,2026-06-09,Ireland,25-34,Social,Web,Active
U100314,2026-05-21,Netherlands,35-44,Direct,Android,Active
U100315,2025-02-05,Poland,35-44,Direct,iOS,Active
U100316,2025-01-20,Portugal,25-34,Email,iOS,Active
U100317,2025-11-17,Sweden,25-34,Organic,Android,Active
U100318,2026-05-27,United Kingdom,45-54,Referral,iOS,Active
U100319,2026-02-04,Netherlands,45-54,Direct,Android,Active
U100320,2026-04-16,India,25-34,Paid Search,iOS,Active
U100321,2025-05-23,Switzerland,55+,Social,iOS,Active
U100322,2025-04-02,Austria,18-24,Social,iOS,Inactive
U100323,2025-12-20,Netherlands,25-34,Paid Search,Web,Active
U100324,2025-02-20,Sweden,18-24,Organic,Web,Inactive
U100325,2026-07-29,United Kingdom,45-54,Organic,iOS,Active
U100326,2025-07-09,Belgium,45-54,Affiliate,Android,Active
U100327,2025-05-05,Italy,35-44,Referral,Android,Inactive
U100328,2025-05-30,Germany,25-34,Social,iOS,Active
U100329,2025-11-10,Netherlands,35-44,Organic,iOS,Active
U100330,2026-07-24,Belgium,25-34,Referral,iOS,Active
U100331,2025-12-08,Poland,45-54,Organic,iOS,Active
U100332,2025-11-01,Portugal,25-34,Organic,iOS,Active
U100333,2025-02-23,France,25-34,Referral,iOS,Active
U100334,2026-03-20,Switzerland,55+,Email,Web,Active
U100335,2025-09-21,Portugal,35-44,Paid Search,Web,Active
U100336,2025-02-22,India,25-34,Referral,Web,Active
U100337,2026-07-26,United Kingdom,25-34,Paid Search,Android,Active
U100338,2025-01-05,Belgium,45-54,Paid Search,Android,Active
U100339,2025-04-13,Portugal,25-34,Paid Search,Android,Active
U100340,2025-07-15,Denmark,25-34,Affiliate,Web,Active
U100341,2025-12-16,Ireland,25-34,Paid Search,iOS,Active
U100342,2025-02-16,Germany,35-44,Email,Android,Active
U100343,2025-09-26,Switzerland,55+,Email,Web,Active
U100344,2026-01-05,Poland,55+,Social,Android,Active
U100345,2025-04-16,United Kingdom,55+,Social,Android,Active
U100346,2025-04-30,Portugal,25-34,Social,iOS,Active
U100347,2026-08-27,Germany,45-54,Organic,iOS,Suspended
U100348,2025-02-27,India,35-44,Referral,Android,Active
U100349,2025-12-12,Austria,35-44,Email,iOS,Active
U100350,2026-04-19,Italy,45-54,Referral,iOS,Active
U100351,2025-04-27,India,45-54,Direct,Web,Active
U100352,2025-05-07,Austria,18-24,Referral,Android,Active
U100353,2026-01-28,Italy,55+,Referral,iOS,Active
U100354,2025-02-27,Portugal,45-54,Direct,iOS,Active
U100355,2026-05-28,India,35-44,Referral,iOS,Active
U100356,2025-04-06,Netherlands,45-54,Direct,Web,Active
U100357,2025-04-28,Ireland,35-44,Referral,Web,Active
U100358,2026-07-14,Ireland,45-54,Social,Android,Active
U100359,2026-08-24,Poland,35-44,Social,Android,Inactive
U100360,2026-05-03,Portugal,35-44,Social,Android,Active
U100361,2025-08-25,India,25-34,Organic,Android,Active
U100362,2025-09-29,Germany,45-54,Organic,iOS,Active
U100363,2025-07-08,Belgium,45-54,Email,iOS,Active
U100364,2026-03-23,United Kingdom,55+,Referral,Android,Active
U100365,2026-08-04,India,25-34,Email,iOS,Active
U100366,2025-09-04,Denmark,25-34,Organic,iOS,Active
U100367,2025-03-17,Denmark,35-44,Referral,Web,Suspended
U100368,2025-06-03,Belgium,45-54,Email,Android,Active
U100369,2026-03-11,Netherlands,45-54,Organic,Android,Active
U100370,2025-03-27,Poland,25-34,Paid Search,Android,Inactive
U100371,2025-10-12,Belgium,35-44,Social,iOS,Active
U100372,2025-08-08,Netherlands,18-24,Organic,Web,Active
U100373,2025-03-10,Netherlands,35-44,Affiliate,iOS,Inactive
U100374,2025-02-16,Poland,18-24,Referral,iOS,Active
U100375,2025-04-04,Italy,18-24,Organic,Android,Active
U100376,2026-03-29,Switzerland,45-54,Organic,Android,Active
U100377,2025-07-23,Switzerland,25-34,Email,iOS,Inactive
U100378,2025-08-06,France,18-24,Organic,iOS,Inactive
U100379,2026-04-19,Italy,35-44,Organic,iOS,Active
U100380,2026-03-08,Belgium,18-24,Referral,Android,Active
U100381,2025-12-07,Austria,25-34,Affiliate,iOS,Active
U100382,2026-07-05,Switzerland,25-34,Email,Web,Inactive
U100383,2025-10-16,Portugal,25-34,Organic,Android,Inactive
U100384,2025-09-11,Sweden,25-34,Direct,Android,Inactive
U100385,2025-12-23,Poland,25-34,Paid Search,Web,Inactive
U100386,2025-01-23,Sweden,25-34,Organic,iOS,Active
U100387,2026-06-06,Poland,35-44,Social,Android,Active
U100388,2025-04-10,Belgium,25-34,Direct,iOS,Active
U100389,2025-06-29,Germany,45-54,Social,Android,Active
U100390,2025-08-11,India,45-54,Email,iOS,Inactive
U100391,2026-03-18,Germany,45-54,Paid Search,Android,Active
U100392,2026-08-31,Belgium,25-34,Organic,iOS,Inactive
U100393,2025-11-21,Belgium,25-34,Organic,Web,Active
U100394,2026-05-31,Austria,25-34,Paid Search,Android,Active
U100395,2025-01-16,Switzerland,35-44,Paid Search,iOS,Inactive
U100396,2025-12-02,Italy,35-44,Paid Search,iOS,Active
U100397,2025-09-15,Austria,35-44,Organic,iOS,Active
U100398,2026-05-12,Denmark,35-44,Affiliate,Android,Active
U100399,2025-06-09,Belgium,55+,Referral,Android,Active
U100400,2026-04-20,Denmark,55+,Paid Search,Web,Inactive
U100401,2026-01-15,Portugal,45-54,Affiliate,iOS,Active
U100402,2026-06-29,Portugal,18-24,Paid Search,Android,Inactive
U100403,2026-03-03,Germany,55+,Organic,Android,Inactive
U100404,2025-09-25,Netherlands,35-44,Affiliate,Web,Active
U100405,2026-07-31,Netherlands,35-44,Direct,Android,Active
U100406,2026-02-21,Denmark,18-24,Direct,Android,Active
U100407,2025-06-17,Spain,25-34,Affiliate,Android,Active
U100408,2025-02-12,United Kingdom,35-44,Direct,Android,Active
U100409,2026-07-10,Germany,25-34,Affiliate,Web,Active
U100410,2025-10-12,Switzerland,18-24,Organic,iOS,Active
U100411,2026-02-01,India,35-44,Direct,iOS,Active
U100412,2025-01-12,Italy,25-34,Email,iOS,Inactive
U100413,2026-08-30,Sweden,18-24,Paid Search,Android,Active
U100414,2025-10-29,Ireland,35-44,Referral,iOS,Inactive
U100415,2025-09-10,Austria,25-34,Organic,iOS,Active
U100416,2026-05-14,Denmark,25-34,Referral,Android,Active
U100417,2025-02-04,Spain,25-34,Referral,Android,Active
U100418,2025-03-31,France,55+,Affiliate,iOS,Inactive
U100419,2026-08-28,Switzerland,18-24,Email,Android,Active
U100420,2026-08-25,Poland,35-44,Social,Web,Active
U100421,2026-02-22,Sweden,25-34,Email,iOS,Inactive
U100422,2025-04-25,Germany,25-34,Direct,iOS,Active
U100423,2025-07-15,Sweden,25-34,Paid Search,Android,Inactive
U100424,2026-05-16,Netherlands,55+,Affiliate,iOS,Active
U100425,2026-05-08,Poland,18-24,Organic,Android,Active
U100426,2025-03-16,Poland,35-44,Paid Search,Web,Active
U100427,2026-02-17,Portugal,35-44,Organic,iOS,Active
U100428,2026-01-11,Italy,45-54,Referral,iOS,Active
U100429,2026-02-24,France,35-44,Referral,Android,Active
U100430,2025-10-04,India,25-34,Organic,Web,Active
U100431,2026-01-29,Italy,,Social,Android,Active
U100432,2026-04-02,Ireland,55+,Email,Android,Inactive
U100433,2025-07-11,Italy,45-54,Paid Search,Android,Inactive
U100434,2025-04-09,Spain,25-34,Paid Search,iOS,Active
U100435,2026-07-02,Switzerland,25-34,Direct,Android,Active
U100436,2025-04-06,Belgium,25-34,Social,iOS,Active
U100437,2025-07-09,Austria,35-44,Email,iOS,Active
U100438,2025-02-06,Belgium,25-34,Email,iOS,Active
U100439,2026-01-04,Denmark,25-34,Social,Android,Inactive
U100440,2026-06-09,Austria,25-34,Email,Android,Active
U100441,2025-10-06,India,18-24,Affiliate,iOS,Active
U100442,2025-08-05,Ireland,25-34,Paid Search,Web,Active
U100443,2025-09-30,Poland,25-34,Organic,Android,Active
U100444,2025-03-03,Italy,55+,Referral,Android,Active
U100445,2026-08-19,Spain,45-54,Social,iOS,Inactive
U100446,2025-12-08,Poland,35-44,Affiliate,Android,Active
U100447,2026-02-01,Austria,25-34,Email,iOS,Inactive
U100448,2025-01-19,Denmark,35-44,Referral,Android,Active
U100449,2025-06-26,Netherlands,35-44,Direct,Android,Active
U100450,2026-01-31,Denmark,18-24,Paid Search,Android,Active
U100451,2026-03-21,Belgium,55+,Paid Search,iOS,Inactive
