session_id,user_id,session_date,session_duration_sec,screens_viewed,device_type,app_version
S500241,U138349,2026-03-17,170.0,9,iOS,5.3.0
S500242,U106216,2026-01-16,270.0,5,iOS,5.1.0
S500243,U108637,2026-03-14,1295.0,6,iOS,5.3.0
S500244,U110961,2026-02-28,382.0,8,Android,5.4.0
S500245,U118636,2026-06-29,450.0,9,iOS,5.4.0
S500246,U140971,2026-08-05,320.0,6,Android,5.4.0
S500247,U102409,2025-04-20,137.0,5,Android,5.4.0
S500248,U126935,2026-03-11,154.0,6,Web,5.1.0
S500249,U114630,2026-08-23,139.0,3,Web,5.4.0
S500250,U100410,2026-02-25,514.0,10,Android,5.1.0
S500251,U118746,2026-02-04,1017.0,10,Android,5.3.0
S500252,U118465,2026-04-11,851.0,7,Android,5.4.0
S500253,U104108,2025-05-04,199.0,12,Web,5.4.0
S500254,U143100,2026-06-30,285.0,3,Android,5.2.0
S500255,U120800,2025-12-22,201.0,4,Android,5.4.1
S500256,U133736,2026-05-28,408.0,3,Android,5.4.0
S500257,U113771,2026-03-29,841.0,7,iOS,5.4.0
S500258,U126957,2026-04-27,633.0,6,iOS,5.2.0
S500259,U129725,2026-08-09,240.0,4,iOS,5.4.0
S500260,U144485,2026-01-27,336.0,7,Android,5.4.0
S500261,U102613,2026-08-11,583.0,9,Android,5.2.0
S500262,U142777,2025-12-19,773.0,11,Android,5.1.0
S500263,U137486,2026-02-23,336.0,2,iOS,5.3.0
S500264,U125681,2025-05-22,391.0,7,iOS,5.4.1
S500265,U143565,2026-03-18,266.0,5,Web,5.4.0
S500266,U142080,2026-05-30,289.0,6,Android,5.4.0
S500267,U115095,2026-04-25,188.0,9,Android,5.4.1
S500268,U106927,2026-01-28,318.0,9,iOS,5.3.0
S500269,U127099,2025-09-15,317.0,5,iOS,5.3.0
S500270,U136226,2025-11-27,206.0,8,Web,5.4.1
S500271,U125058,2026-06-18,75.0,7,Android,5.3.0
S500272,U129370,2025-06-01,403.0,12,Web,5.3.0
S500273,U126530,2025-10-15,627.0,5,Android,5.2.0
S500274,U123838,2026-05-28,386.0,9,Android,5.4.0
S500275,U101709,2026-05-26,714.0,7,iOS,5.4.0
S500276,U145852,2026-06-28,217.0,7,iOS,5.3.0
S500277,U115196,2026-07-02,236.0,7,Android,5.2.0
S500278,U131788,2025-10-11,353.0,5,iOS,5.3.0
S500279,U125109,2026-05-24,804.0,6,iOS,5.4.0
S500280,U125720,2026-02-18,160.0,8,iOS,5.3.0
S500281,U111544,2026-07-01,241.0,5,iOS,5.4.1
S500282,U113978,2026-08-21,132.0,8,Web,5.3.0
S500283,U135137,2026-06-18,254.0,7,Android,5.3.0
S500284,U103693,2026-08-02,146.0,6,Android,5.1.0
S500285,U143721,2025-12-30,648.0,6,iOS,5.2.0
S500286,U142451,2025-07-15,187.0,5,iOS,5.3.0
S500287,U103593,2026-06-25,968.0,3,Android,5.4.1
S500288,U122585,2026-03-21,215.0,5,iOS,5.4.0
S500289,U124200,2026-04-23,766.0,6,Android,5.2.0
S500290,U119522,2026-01-24,1028.0,7,iOS,5.4.0
S500291,U125084,2025-12-15,238.0,7,iOS,5.4.0
S500292,U132752,2025-07-14,619.0,6,Android,5.3.0
S500293,U138156,2026-03-31,178.0,6,Android,5.4.0
S500294,U124942,2025-05-11,192.0,6,iOS,5.3.0
S500295,U110774,2026-01-11,359.0,8,Android,5.2.0
S500296,U148361,2026-01-23,160.0,9,iOS,5.4.0
S500297,U145534,2025-02-22,205.0,5,iOS,5.4.1
S500298,U118621,2026-08-17,698.0,5,Android,5.3.0
S500299,U149088,2025-03-26,462.0,11,iOS,5.1.0
S500300,U119587,2025-10-04,583.0,3,iOS,5.2.0
S500301,U128212,2026-04-28,365.0,7,Web,5.4.1
S500302,U101782,2026-05-19,248.0,5,Android,5.2.0
S500303,U144070,2025-03-12,383.0,7,Web,5.3.0
S500304,U111054,2026-04-10,288.0,4,iOS,5.2.0
S500305,U131237,2026-06-14,725.0,8,iOS,5.3.0
S500306,U145557,2026-07-02,497.0,5,iOS,5.3.0
S500307,U105349,2026-03-06,159.0,4,iOS,5.3.0
S500308,U141083,2025-08-23,513.0,7,Android,5.4.0
S500309,U143533,2026-02-17,129.0,10,iOS,5.4.0
S500310,U138811,2025-07-04,323.0,8,Web,5.1.0
S500311,U136920,2026-04-19,192.0,7,Android,5.1.0
S500312,U129599,2025-11-17,119.0,8,iOS,5.4.1
S500313,U103087,2025-12-23,144.0,7,Android,5.2.0
S500314,U145359,2025-07-06,199.0,6,Android,5.3.0
S500315,U138034,2025-06-13,550.0,5,iOS,5.1.0
S500316,U144354,2026-03-30,186.0,6,Android,5.4.0
S500317,U136757,2025-11-20,465.0,5,iOS,5.3.0
S500318,U119869,2026-03-18,375.0,6,iOS,5.4.1
S500319,U143207,2026-01-31,104.0,4,Android,5.4.0
S500320,U100623,2026-07-09,260.0,9,iOS,5.4.1
S500321,U147851,2025-09-15,115.0,4,iOS,5.4.0
S500322,U124682,2026-02-14,63.0,15,iOS,5.1.0
S500323,U130883,2026-04-25,114.0,9,iOS,5.4.1
S500324,U142959,2025-09-17,149.0,5,Android,5.4.0
S500325,U138412,2025-06-11,59.0,8,iOS,5.3.0
S500326,U124985,2025-12-09,130.0,8,iOS,5.2.0
S500327,U108285,2025-11-11,751.0,9,iOS,5.4.1
S500328,U139290,2026-04-24,222.0,7,Android,5.1.0
S500329,U133242,2026-04-17,397.0,13,Android,5.2.0
S500330,U121940,2026-07-23,217.0,6,Android,5.4.0
S500331,U119728,2025-09-17,396.0,10,Android,5.4.0
S500332,U131134,2026-04-27,217.0,7,iOS,5.3.0
S500333,U111062,2026-01-30,523.0,6,Android,5.1.0
S500334,U147411,2026-01-28,549.0,4,Web,5.1.0
S500335,U142279,2026-07-02,201.0,3,Web,5.4.0
S500336,U145776,2025-11-26,131.0,7,Android,5.1.0
S500337,U113432,2026-07-09,134.0,6,iOS,5.2.0
S500338,U103095,2025-07-20,86.0,5,Android,5.4.0
S500339,U114812,2026-08-07,289.0,8,iOS,5.2.0
S500340,U144717,2025-07-22,367.0,7,iOS,5.1.0
S500341,U109207,2026-08-16,223.0,5,iOS,5.1.0
S500342,U110855,2026-05-28,311.0,9,Android,5.4.1
S500343,U112423,2025-02-28,174.0,7,iOS,5.1.0
S500344,U124172,2025-09-22,293.0,7,Web,5.4.0
S500345,U124456,2026-01-14,318.0,7,Android,5.3.0
S500346,U135150,2026-01-28,930.0,8,iOS,5.3.0
S500347,U102324,2026-04-29,314.0,5,Android,5.2.0
S500348,U144665,2026-05-09,681.0,5,Android,5.4.0
S500349,U103568,2026-01-31,375.0,10,Android,5.4.0
S500350,U136161,2026-05-13,183.0,6,Android,5.3.0
S500351,U123713,2026-06-16,652.0,10,iOS,5.2.0
S500352,U142026,2025-05-07,197.0,5,Android,5.4.0
S500353,U107565,2025-10-11,446.0,4,iOS,5.3.0
S500354,U136616,2026-03-25,399.0,8,Android,5.4.1
S500355,U128195,2025-03-22,200.0,2,Android,5.2.0
S500356,U117714,2025-07-17,174.0,10,iOS,5.3.0
S500357,U103515,2026-04-13,90.0,5,Web,5.3.0
S500358,U132058,2026-03-01,254.0,8,iOS,5.3.0
S500359,U140362,2025-09-24,604.0,10,iOS,5.3.0
S500360,U132702,2026-05-28,1055.0,9,iOS,5.4.0
S500361,U109066,2026-03-12,314.0,12,Android,5.4.0
S500362,U136848,2026-07-16,204.0,10,Web,5.2.0
S500363,U111404,2025-08-25,158.0,7,Android,5.3.0
S500364,U124324,2025-11-17,101.0,8,Android,5.4.0
S500365,U143267,2026-06-30,146.0,10,iOS,5.2.0
S500366,U136193,2025-10-02,303.0,5,iOS,5.4.1
S500367,U121053,2026-04-04,365.0,8,Android,5.4.1
S500368,U100877,2026-08-04,462.0,5,iOS,5.4.1
S500369,U100924,2026-06-14,307.0,2,iOS,5.3.0
S500370,U136529,2025-05-24,338.0,7,iOS,5.4.0
S500371,U132947,2026-08-18,351.0,7,iOS,5.4.0
S500372,U103841,2026-03-31,128.0,5,iOS,5.4.0
S500373,U105182,2025-11-05,150.0,9,Web,5.2.0
S500374,U129171,2026-02-09,152.0,9,Web,5.4.1
S500375,U118507,2025-11-03,470.0,4,Web,5.3.0
S500376,U127694,2025-12-13,220.0,9,Web,5.1.0
S500377,U130983,2025-07-01,369.0,8,iOS,5.1.0
S500378,U113626,2025-05-01,171.0,6,Android,5.2.0
S500379,U126476,2026-04-01,166.0,3,Android,5.4.0
S500380,U127325,2026-02-14,435.0,5,iOS,5.4.0
S500381,U120838,2026-02-10,309.0,10,iOS,5.4.1
S500382,U130118,2025-12-22,73.0,9,iOS,5.4.1
S500383,U146070,2026-06-03,75.0,4,Android,5.1.0
S500384,U131206,2026-06-15,326.0,4,iOS,5.1.0
S500385,U148515,2026-01-05,454.0,6,iOS,5.3.0
S500386,U143983,2026-08-27,353.0,10,Android,5.2.0
S500387,U106738,2025-11-25,139.0,7,Android,5.4.0
S500388,U131009,2026-01-24,284.0,6,Android,5.2.0
S500389,U117756,2025-11-07,260.0,11,iOS,5.3.0
S500390,U133176,2025-05-11,389.0,9,Android,5.1.0
S500391,U127178,2026-01-05,416.0,13,Android,5.4.1
S500392,U102254,2025-11-21,478.0,4,Android,5.3.0
S500393,U148154,2026-03-27,648.0,10,iOS,5.4.1
S500394,U129692,2026-06-23,319.0,9,Android,5.4.1
S500395,U136738,2025-04-12,178.0,7,iOS,5.4.1
S500396,U133737,2025-11-15,744.0,8,iOS,5.4.1
S500397,U100936,2025-12-26,171.0,5,Android,5.4.0
S500398,U124442,2025-05-08,414.0,4,iOS,5.2.0
S500399,U129349,2026-01-15,194.0,5,Web,5.4.1
S500400,U128659,2025-06-25,1241.0,9,iOS,5.2.0
S500401,U139167,2026-03-10,221.0,6,Android,5.4.0
S500402,U120908,2026-02-21,1048.0,9,iOS,5.4.1
S500403,U147158,2026-01-31,270.0,12,Android,5.3.0
S500404,U114186,2025-04-05,223.0,5,Web,5.4.0
S500405,U125165,2026-02-09,324.0,10,Android,5.3.0
S500406,U130719,2026-08-22,245.0,7,iOS,5.4.0
S500407,U145312,2026-03-28,124.0,9,Android,5.3.0
S500408,U114240,2026-02-27,351.0,7,Android,5.4.0
S500409,U133678,2026-05-07,323.0,8,iOS,5.1.0
S500410,U146642,2026-02-03,277.0,8,iOS,5.4.0
S500411,U133730,2026-07-13,316.0,8,iOS,5.2.0
S500412,U133521,2025-07-08,281.0,8,iOS,5.4.1
S500413,U115191,2025-12-24,359.0,8,iOS,5.4.0
S500414,U144981,2026-03-17,251.0,6,iOS,5.3.0
S500415,U118675,2025-08-24,443.0,8,iOS,5.4.0
S500416,U109347,2025-07-25,116.0,10,Web,5.4.1
S500417,U105273,2025-08-29,122.0,13,Web,5.4.1
S500418,U111060,2025-12-21,1457.0,6,iOS,5.1.0
S500419,U100004,2026-01-04,381.0,6,iOS,5.3.0
S500420,U116488,2025-07-12,200.0,6,Android,5.1.0
S500421,U149222,2025-07-15,181.0,6,Android,5.4.0
S500422,U144319,2025-10-11,315.0,4,Android,5.3.0
S500423,U101602,2026-04-23,643.0,9,iOS,5.4.0
S500424,U116918,2026-02-14,1102.0,6,Web,5.4.1
S500425,U130215,2025-08-27,301.0,11,Android,5.3.0
S500426,U114941,2025-07-05,191.0,5,Web,5.4.1
S500427,U145520,2025-06-12,265.0,3,Android,5.3.0
S500428,U142761,2026-07-06,98.0,5,iOS,5.2.0
S500429,U147687,2026-03-16,118.0,3,Android,5.4.0
S500430,U144693,2025-10-31,280.0,3,Android,5.3.0
S500431,U142965,2025-11-13,238.0,6,Android,5.3.0
S500432,U124231,2026-06-20,154.0,9,iOS,5.4.0
S500433,U148375,2025-06-03,201.0,8,iOS,5.4.1
S500434,U121884,2026-04-13,240.0,4,iOS,5.4.0
S500435,U139515,2026-06-07,441.0,6,Android,5.4.1
S500436,U102892,2026-01-27,270.0,6,iOS,5.3.0
S500437,U112588,2025-08-24,154.0,11,iOS,5.3.0
S500438,U146968,2026-03-10,87.0,11,Android,5.1.0
S500439,U109509,2026-08-31,643.0,11,Android,5.4.1
S500440,U109383,2026-04-11,527.0,3,Web,5.4.0
S500441,U146240,2026-03-10,563.0,12,Android,5.4.1
S500442,U148226,2026-08-03,329.0,5,Android,5.2.0
S500443,U128175,2025-12-14,220.0,8,Web,5.1.0
S500444,U116601,2025-12-09,638.0,6,iOS,5.1.0
S500445,U114396,2026-01-08,259.0,4,iOS,5.4.1
S500446,U143317,2026-07-05,327.0,5,iOS,5.4.0
S500447,U117950,2025-07-18,248.0,8,Android,5.1.0
S500448,U118210,2025-10-12,330.0,8,Web,5.2.0
S500449,U139600,2026-07-10,295.0,2,iOS,5.4.0
S500450,U146700,2026-02-14,352.0,10,Android,5.4.0
S500451,U149775,2025-03-13,199.0,9,iOS,5.4.0
S500452,U112140,2026-07-28,234.0,7,Android,5.3.0
S500453,U146225,2025-07-28,199.0,4,iOS,5.1.0
S500454,U140288,2026-06-11,294.0,6,iOS,5.3.0
S500455,U117772,2025-09-14,213.0,6,Android,5.4.0
S500456,U124640,2026-05-16,505.0,8,Android,5.3.0
