transaction_id,user_id,transaction_date,transaction_type,asset,amount_eur,status
T900079,U113634,2026-07-06,Swap,BTC,124.71,Completed
T900080,U113246,2026-05-06,Buy,ADA,827.11,Failed
T900081,U106226,2025-10-15,Buy,BTC,1128.02,Completed
T900082,U109192,2026-06-18,Swap,XRP,221.33,Completed
T900083,U113084,2026-03-05,Sell,DOT,132.54,Completed
T900084,U149675,2026-01-10,Buy,DOT,40.39,Completed
T900085,U138514,2025-07-10,Sell,ETH,88.67,Completed
T900086,U127133,2026-03-03,Buy,BORG,165.99,Completed
T900087,U125233,2026-06-03,Buy,DOT,87.1,Completed
T900088,U129312,2026-07-08,Buy,USDC,60.46,Completed
T900089,U122418,2026-06-29,Buy,USDC,178.6,Failed
T900090,U118438,2026-02-19,Sell,XRP,95.3,Completed
T900091,U107670,2026-06-18,Swap,DOT,136.27,Completed
T900092,U103659,2026-07-25,Swap,ETH,1495.4,Completed
T900093,U136997,2025-09-10,Buy,DOT,372.4,Completed
T900094,U123855,2026-08-16,Buy,BTC,334.68,Completed
T900095,U142955,2025-08-08,Swap,DOT,294.64,Completed
T900096,U147723,2026-04-11,Swap,XRP,122.94,Completed
T900097,U149138,2026-03-20,Swap,ETH,1531.3,Completed
T900098,U142457,2026-04-13,Sell,ADA,104.2,Completed
T900099,U141293,2026-06-15,Buy,SOL,31.86,Completed
T900100,U134727,2026-02-09,Swap,ETH,1432.91,Failed
T900101,U145991,2026-02-08,Buy,BTC,75.42,Completed
T900102,U145862,2026-04-03,Buy,BTC,300.58,Completed
T900103,U102219,2026-07-15,Buy,DOT,843.15,Completed
T900104,U105814,2026-02-28,Sell,SOL,716.53,Completed
T900105,U140455,2026-08-28,Buy,BORG,69.62,Completed
T900106,U112321,2026-05-14,Buy,DOT,312.96,Completed
T900107,U146541,2026-08-11,Buy,SOL,80.19,Completed
T900108,U125830,2026-08-01,Swap,SOL,495.46,Completed
T900109,U120899,2025-11-07,Swap,ETH,50.44,Completed
T900110,U118144,2026-05-09,Buy,SOL,319.81,Pending
T900111,U133740,2026-03-23,Sell,BORG,171.72,Completed
T900112,U120517,2026-01-17,Swap,DOT,2154.85,Completed
T900113,U116120,2026-01-29,Buy,BORG,144.0,Completed
T900114,U110207,2026-06-03,Sell,SOL,318.36,Completed
T900115,U143415,2026-07-20,Sell,BTC,246.2,Completed
T900116,U101684,2025-09-02,Swap,DOT,129.93,Completed
T900117,U113238,2026-06-25,Buy,USDC,274.43,Completed
T900118,U117880,2025-06-14,Sell,SOL,183.94,Completed
T900119,U118217,2026-06-13,Sell,DOT,552.64,Completed
T900120,U146749,2026-03-25,Buy,USDC,311.41,Completed
T900121,U102313,2026-06-18,Sell,BORG,49.94,Failed
T900122,U116124,2026-07-08,Buy,ADA,74.56,Completed
T900123,U104050,2026-02-14,Sell,ETH,421.07,Completed
T900124,U107821,2025-10-15,Sell,DOT,248.64,Completed
T900125,U111267,2025-10-10,Sell,SOL,82.64,Pending
T900126,U129531,2026-05-24,Sell,BORG,38.57,Completed
T900127,U120835,2026-03-23,Buy,XRP,1391.01,Completed
T900128,U123738,2025-03-29,Sell,ADA,250.34,Completed
T900129,U100266,2026-06-22,Sell,ADA,246.7,Completed
T900130,U134347,2026-04-05,Buy,ADA,677.94,Completed
T900131,U130172,2026-05-18,Sell,SOL,502.13,Completed
T900132,U114373,2025-07-19,Buy,ETH,948.57,Completed
T900133,U144290,2026-07-24,Sell,ETH,595.54,Completed
T900134,U127165,2026-08-02,Buy,USDC,152.44,Completed
T900135,U133622,2026-07-06,Buy,BORG,142.92,Completed
T900136,U146087,2026-08-19,Buy,ETH,1346.68,Completed
T900137,U129514,2025-12-15,Buy,XRP,174.21,Completed
T900138,U140991,2026-02-28,Buy,BORG,320.41,Completed
T900139,U100758,2025-12-08,Buy,ADA,177.12,Failed
T900140,U133560,2026-02-09,Swap,ETH,124.42,Completed
T900141,U101740,2025-07-03,Buy,XRP,54.08,Completed
T900142,U109354,2026-01-31,Swap,SOL,121.64,Completed
T900143,U106056,2026-03-24,Sell,ETH,1461.1,Completed
T900144,U146802,2026-04-30,Sell,USDC,277.27,Completed
T900145,U101334,2025-11-07,Buy,BTC,3019.02,Completed
T900146,U109883,2026-06-13,Buy,ETH,226.0,Completed
T900147,U105605,2026-07-27,Buy,SOL,378.66,Completed
T900148,U115977,2026-03-29,Sell,SOL,268.55,Completed
T900149,U137086,2025-09-24,Swap,SOL,104.72,Completed
T900150,U106509,2025-11-29,Sell,ETH,963.72,Completed
T900151,U126939,2025-11-17,Swap,XRP,181.09,Completed
T900152,U129383,2026-05-02,Sell,ADA,1761.62,Completed
T900153,U110722,2025-09-21,Buy,DOT,135.72,Completed
T900154,U116855,2026-05-10,Buy,BORG,131.93,Completed
T900155,U141659,2026-05-08,Buy,BORG,80.65,Completed
T900156,U141125,2026-07-16,Buy,BTC,301.1,Completed
T900157,U109951,2025-10-27,Buy,BORG,1872.35,Completed
T900158,U109926,2026-08-14,Buy,XRP,94.64,Completed
T900159,U108436,2025-10-27,Swap,USDC,420.75,Completed
T900160,U124773,2025-06-19,Buy,ETH,352.03,Completed
T900161,U125398,2025-04-01,Sell,BTC,602.71,Completed
T900162,U139208,2026-01-21,Buy,BORG,293.48,Completed
T900163,U146537,2025-12-23,Buy,ADA,283.36,Completed
T900164,U101734,2025-08-01,Sell,ETH,960.65,Pending
T900165,U116614,2026-07-25,Buy,BORG,71.64,Completed
T900166,U149388,2025-09-15,Buy,USDC,88.93,Completed
T900167,U122416,2026-03-09,Buy,SOL,88.89,Completed
T900168,U120241,2026-01-29,Buy,USDC,68.84,Completed
T900169,U120781,2026-07-03,Sell,DOT,67.68,Completed
T900170,U142000,2025-12-25,Buy,ADA,238.88,Completed
T900171,U145771,2025-12-01,Buy,USDC,268.05,Completed
T900172,U100980,2026-08-14,Swap,BTC,218.64,Completed
T900173,U143056,2026-08-02,Buy,DOT,35.72,Completed
T900174,U121386,2026-07-28,Buy,DOT,1973.89,Completed
T900175,U107370,2026-05-23,Buy,BORG,300.43,Completed
T900176,U146644,2026-03-13,Swap,DOT,491.06,Completed
T900177,U111121,2025-10-27,Swap,BTC,277.85,Completed
T900178,U119614,2025-06-02,Swap,XRP,138.95,Completed
T900179,U140623,2025-09-10,Sell,XRP,850.18,Completed
T900180,U140128,2026-02-20,Buy,ETH,132.8,Completed
T900181,U149610,2026-04-07,Swap,USDC,166.48,Completed
T900182,U116535,2025-09-15,Swap,ETH,57.2,Completed
T900183,U139551,2025-05-20,Buy,USDC,620.89,Pending
T900184,U125208,2025-12-08,Sell,DOT,46.67,Completed
T900185,U124632,2026-08-08,Sell,ETH,68.0,Completed
T900186,U128711,2026-01-16,Sell,XRP,562.25,Completed
T900187,U103614,2026-05-10,Swap,ETH,112.55,Completed
T900188,U145538,2025-05-28,Swap,USDC,129.12,Completed
T900189,U106422,2026-01-11,Buy,ADA,406.2,Completed
T900190,U131820,2025-04-05,Buy,USDC,333.62,Completed
T900191,U114973,2026-04-11,Buy,SOL,304.83,Completed
T900192,U116524,2026-07-30,Buy,DOT,137.88,Completed
T900193,U144201,2025-06-29,Swap,DOT,20.93,Completed
T900194,U127060,2026-01-02,Sell,ADA,73.99,Completed
T900195,U117419,2025-11-18,Buy,BORG,276.74,Completed
T900196,U141327,2025-12-10,Sell,ETH,562.58,Completed
T900197,U136507,2026-06-28,Buy,XRP,249.31,Completed
T900198,U104512,2025-11-07,Buy,BORG,56.7,Completed
T900199,U129153,2026-04-27,Buy,ADA,293.37,Pending
T900200,U102916,2026-07-16,Buy,ADA,271.15,Completed
T900201,U147493,2026-05-18,Buy,SOL,1950.04,Completed
T900202,U107509,2025-10-03,Sell,BTC,409.55,Completed
T900203,U133722,2026-08-07,Sell,USDC,8.86,Completed
T900204,U143368,2025-06-14,Buy,SOL,373.78,Completed
T900205,U101123,2025-08-22,Swap,BTC,268.11,Completed
T900206,U108045,2026-02-24,Sell,BTC,702.77,Completed
T900207,U103447,2026-08-08,Buy,DOT,30.4,Completed
T900208,U125245,2026-06-24,Buy,ETH,13.97,Completed
T900209,U116619,2026-04-03,Buy,XRP,321.59,Completed
T900210,U116098,2026-05-06,Sell,ETH,776.8,Completed
T900211,U107763,2026-03-03,Swap,ADA,23.91,Completed
T900212,U109230,2026-07-15,Swap,SOL,78.32,Completed
T900213,U147746,2025-02-22,Sell,SOL,464.14,Completed
T900214,U108313,2026-07-24,Buy,ETH,106.98,Completed
T900215,U132877,2025-04-11,Buy,DOT,351.63,Completed
T900216,U127389,2025-07-26,Sell,ADA,413.48,Completed
T900217,U134900,2025-07-13,Buy,BTC,489.57,Completed
T900218,U112017,2025-07-08,Swap,BORG,694.98,Completed
T900219,U132688,2026-03-06,Swap,SOL,21.25,Completed
T900220,U117317,2026-06-29,Sell,USDC,549.24,Completed
T900221,U107225,2026-07-05,Swap,BORG,267.06,Completed
T900222,U143449,2026-04-20,Swap,ADA,1067.92,Completed
T900223,U124515,2026-05-20,Sell,DOT,265.54,Completed
T900224,U119942,2025-08-08,Sell,BORG,292.99,Completed
T900225,U104530,2026-06-08,Swap,ADA,435.43,Completed
T900226,U128749,2026-01-29,Buy,XRP,431.74,Completed
T900227,U130962,2025-11-12,Sell,SOL,274.66,Failed
T900228,U126982,2026-08-24,Buy,SOL,254.7,Completed
T900229,U127318,2025-06-15,Swap,BTC,298.94,Pending
T900230,U107159,2026-02-15,Sell,SOL,263.47,Completed
T900231,U135917,2026-06-12,Sell,BORG,133.36,Completed
T900232,U123195,2025-11-23,Sell,USDC,1157.83,Completed
T900233,U123909,2026-02-05,Swap,XRP,236.57,Completed
T900234,U117238,2026-07-24,Buy,ETH,876.53,Completed
T900235,U109533,2025-09-09,Swap,BORG,106.86,Completed
T900236,U114918,2026-04-25,Swap,USDC,39.32,Completed
T900237,U138528,2025-12-05,Swap,BTC,445.97,Completed
T900238,U122148,2026-04-12,Buy,SOL,463.24,Completed
T900239,U133217,2025-09-12,Sell,SOL,1646.43,Completed
T900240,U124470,2026-03-08,Buy,DOT,301.68,Completed
T900241,U124050,2025-06-08,Swap,ADA,154.55,Completed
T900242,U115006,2025-09-28,Swap,BTC,264.9,Completed
T900243,U142361,2025-12-13,Swap,ETH,64.14,Completed
T900244,U103480,2026-05-03,Buy,USDC,536.88,Completed
T900245,U142409,2026-02-26,Sell,BTC,2043.37,Completed
T900246,U129421,2026-03-30,Swap,DOT,151.41,Completed
T900247,U131442,2026-01-23,Buy,BTC,162.87,Completed
T900248,U132545,2026-01-30,Swap,XRP,192.42,Completed
T900249,U138145,2025-07-16,Buy,BORG,747.88,Completed
T900250,U142205,2025-11-11,Sell,BORG,650.87,Failed
T900251,U131844,2026-05-30,Sell,SOL,217.12,Completed
T900252,U122020,2026-01-11,Swap,SOL,30281.98,Completed
T900253,U133163,2025-11-23,Swap,ETH,53.96,Completed
T900254,U138009,2026-03-11,Buy,BORG,154.66,Completed
T900255,U115404,2026-07-18,Sell,ADA,174.17,Completed
T900256,U117061,2026-04-19,Buy,USDC,83.28,Completed
T900257,U148179,2026-01-18,Sell,SOL,233.65,Pending
T900258,U143293,2026-01-08,Sell,SOL,1247.63,Completed
T900259,U100021,2025-12-17,Buy,SOL,25.68,Completed
T900260,U149860,2026-05-26,Buy,ETH,161.77,Completed
T900261,U111063,2025-07-05,Sell,ETH,867.53,Completed
T900262,U135686,2026-02-12,Buy,ETH,210.11,Completed
T900263,U120466,2025-12-25,Buy,SOL,153.63,Completed
T900264,U100189,2026-01-23,Swap,ADA,68.68,Completed
T900265,U116312,2026-07-15,Sell,DOT,122.88,Completed
T900266,U113697,2025-11-18,Sell,USDC,33.5,Completed
T900267,U141521,2026-04-22,Buy,ETH,302.46,Completed
T900268,U133009,2026-07-26,Swap,DOT,55.75,Completed
T900269,U118496,2025-07-15,Buy,BTC,223.9,Completed
T900270,U111882,2025-11-24,Sell,ETH,245.85,Completed
T900271,U100709,2026-05-05,Buy,SOL,338.14,Completed
T900272,U122175,2026-03-10,Buy,SOL,97.51,Completed
T900273,U145817,2025-07-06,Buy,SOL,446.01,Completed
T900274,U123745,2026-05-25,Buy,SOL,69.52,Completed
T900275,U139968,2025-07-26,Swap,SOL,372.18,Completed
T900276,U102342,2025-08-06,Buy,BTC,38.88,Pending
T900277,U143066,2025-05-03,Buy,DOT,305.78,Completed
T900278,U145205,2025-12-30,Swap,XRP,204.35,Completed
T900279,U119336,2025-11-18,Buy,ETH,159.11,Completed
T900280,U100901,2025-11-24,Sell,ADA,130.46,Completed
T900281,U143512,2026-01-13,Buy,BTC,893.29,Completed
T900282,U111015,2026-05-25,Swap,ETH,146.41,Completed
T900283,U115124,2026-07-15,Sell,XRP,176.86,Completed
T900284,U105441,2025-07-08,Buy,SOL,112.93,Completed
T900285,U106392,2025-02-23,Swap,XRP,80.26,Completed
T900286,U108035,2025-06-30,Sell,ETH,204.79,Completed
T900287,U114004,2025-07-14,Sell,ETH,26.34,Completed
T900288,U119778,2025-04-25,Swap,ETH,57.82,Completed
T900289,U112097,2026-02-27,Swap,BORG,59.28,Completed
T900290,U136742,2026-05-26,Buy,SOL,43.2,Completed
T900291,U107580,2026-04-10,Sell,USDC,326.57,Completed
T900292,U121451,2026-05-25,Buy,BORG,2035.48,Failed
T900293,U145315,2025-12-29,Buy,SOL,635.67,Completed
T900294,U105153,2025-10-19,Sell,DOT,853.53,Completed
T900295,U111150,2025-09-07,Buy,BORG,560.62,Completed
T900296,U114285,2025-10-17,Buy,USDC,112.0,Completed
T900297,U115220,2025-03-20,Swap,DOT,215.58,Completed
T900298,U106407,2025-08-04,Swap,USDC,37.3,Completed
T900299,U132714,2026-02-20,Swap,BTC,115.08,Completed
T900300,U119344,2026-01-03,Sell,ETH,67.86,Completed
T900301,U124879,2026-02-18,Sell,BTC,220.42,Completed
T900302,U108613,2025-07-21,Swap,BTC,145.92,Completed
T900303,U131782,2025-10-05,Sell,BTC,464.65,Completed
T900304,U132761,2026-04-23,Sell,SOL,295.87,Completed
T900305,U107084,2026-05-28,Sell,ETH,419.45,Completed
T900306,U101754,2026-05-26,Buy,USDC,500.6,Completed
T900307,U122886,2025-10-18,Sell,ETH,374.56,Completed
T900308,U112317,2025-04-14,Swap,BORG,21.88,Completed
T900309,U115863,2026-04-07,Sell,BORG,310.86,Completed
T900310,U115556,2025-09-09,Buy,ETH,797.99,Pending
T900311,U100577,2026-06-11,Swap,USDC,97.48,Completed
T900312,U110411,2026-01-26,Sell,SOL,941.86,Completed
T900313,U139219,2026-05-14,Sell,BTC,202.45,Completed
T900314,U107404,2025-08-02,Swap,BORG,451.7,Completed
T900315,U133919,2026-07-06,Buy,XRP,234.18,Completed
T900316,U126797,2026-08-17,Buy,BTC,21.71,Completed
T900317,U118602,2026-04-15,Buy,SOL,402.7,Completed
T900318,U145466,2026-04-01,Buy,SOL,161.26,Completed
T900319,U113780,2026-07-05,Buy,BTC,78.21,Completed
T900320,U112964,2026-08-15,Sell,SOL,1727.02,Completed
T900321,U141933,2025-12-20,Sell,ETH,63.65,Completed
T900322,U128990,2026-06-04,Buy,ADA,20.91,Completed
T900323,U117078,2026-07-12,Buy,BTC,1064.17,Completed
T900324,U146564,2026-01-13,Swap,XRP,193.26,Completed
T900325,U136708,2026-05-05,Buy,SOL,358.02,Pending
T900326,U104643,2025-12-01,Buy,DOT,79.64,Completed
T900327,U117318,2026-05-25,Buy,ADA,833.53,Completed
T900328,U137232,2026-03-02,Swap,USDC,32.08,Completed
T900329,U131285,2026-06-04,Buy,BTC,289.9,Completed
T900330,U121108,2026-07-18,Buy,ADA,101.37,Completed
T900331,U143197,2025-07-12,Sell,ADA,377.6,Completed
T900332,U137659,2025-05-21,Buy,DOT,494.01,Completed
T900333,U105932,2026-07-15,Buy,DOT,283.63,Completed
T900334,U107735,2026-01-25,Buy,BTC,108.17,Completed
T900335,U111733,2025-08-12,Buy,DOT,201.8,Completed
T900336,U135732,2025-04-15,Buy,DOT,49.6,Completed
T900337,U107850,2025-12-18,Swap,USDC,141.43,Completed
T900338,U119542,2026-07-27,Buy,XRP,54.13,Completed
T900339,U122104,2025-09-28,Swap,DOT,100.51,Completed
T900340,U138488,2025-05-18,Swap,BTC,160.94,Completed
T900341,U139874,2025-09-09,Buy,BORG,320.65,Pending
T900342,U141154,2026-02-09,Buy,USDC,518.22,Pending
T900343,U139237,2026-07-08,Swap,USDC,287.23,Completed
T900344,U144017,2025-10-28,Sell,XRP,278.04,Completed
T900345,U146615,2025-01-23,Sell,DOT,61.66,Completed
T900346,U134003,2025-08-29,Buy,BTC,80.74,Completed
T900347,U117418,2026-02-23,Buy,ADA,30.02,Completed
T900348,U147477,2026-01-05,Swap,USDC,499.86,Completed
T900349,U136001,2026-03-21,Buy,XRP,79.91,Completed
T900350,U138216,2026-06-19,Sell,XRP,28.18,Completed
T900351,U138237,2025-12-27,Sell,ETH,1832.45,Completed
T900352,U137682,2026-05-18,Buy,USDC,183.89,Pending
T900353,U108220,2026-06-25,Swap,ADA,152.07,Completed
T900354,U112390,2026-07-16,Buy,USDC,713.49,Completed
T900355,U133383,2026-04-21,Buy,ETH,158.05,Completed
T900356,U114928,2025-12-06,Buy,BORG,459.5,Completed
T900357,U119905,2026-05-20,Swap,BORG,351.35,Completed
T900358,U140666,2025-07-27,Sell,DOT,1043.49,Failed
T900359,U119765,2025-11-16,Buy,SOL,56.74,Completed
T900360,U113278,2026-01-25,Buy,BTC,63.21,Completed
T900361,U145029,2026-08-26,Buy,ADA,5.36,Completed
T900362,U125760,2026-02-03,Sell,ETH,50.78,Completed
T900363,U124775,2025-11-26,Buy,BTC,553.6,Completed
T900364,U107190,2025-12-12,Sell,BORG,240.69,Completed
T900365,U147838,2026-02-10,Buy,ADA,173.26,Completed
T900366,U111182,2026-08-27,Buy,USDC,198.53,Completed
T900367,U146807,2025-11-09,Buy,BORG,82.06,Completed
T900368,U137272,2025-11-07,Swap,SOL,378.47,Completed
T900369,U135031,2026-04-07,Sell,ADA,605.69,Completed
T900370,U113873,2026-03-13,Sell,ADA,357.89,Completed
T900371,U115708,2025-12-08,Buy,BORG,1047.41,Completed
T900372,U131467,2025-11-28,Buy,DOT,269.34,Completed
T900373,U113291,2026-06-12,Swap,USDC,27.72,Completed
T900374,U145410,2026-05-26,Buy,DOT,569.47,Completed
T900375,U140949,2026-07-08,Swap,DOT,542.15,Completed
T900376,U143689,2026-06-20,Sell,DOT,87.67,Completed
T900377,U112407,2025-06-02,Swap,USDC,227.87,Completed
T900378,U120065,2026-08-21,Sell,ADA,326.82,Completed
T900379,U137292,2025-07-21,Sell,ETH,147.01,Completed
T900380,U128149,2026-04-15,Sell,BORG,40.05,Completed
T900381,U102083,2026-05-08,Buy,XRP,20.51,Completed
T900382,U112610,2026-06-21,Sell,XRP,1022.8,Completed
T900383,U139742,2026-02-15,Swap,BTC,175.43,Completed
T900384,U119407,2025-12-15,Buy,ADA,1071.21,Completed
T900385,U115167,2025-08-03,Buy,SOL,185.99,Completed
T900386,U100893,2026-02-09,Swap,XRP,565.24,Completed
T900387,U109751,2026-08-31,Swap,ETH,138.7,Completed
T900388,U122140,2026-07-03,Buy,DOT,77.44,Completed
T900389,U145887,2026-04-07,Buy,DOT,262.25,Completed
T900390,U100335,2026-06-17,Sell,BORG,163.69,Completed
T900391,U129991,2026-08-24,Sell,XRP,557.54,Completed
T900392,U140603,2026-07-01,Buy,XRP,322.09,Completed
T900393,U128788,2026-03-25,Sell,BTC,70.84,Completed
T900394,U132487,2026-02-11,Buy,SOL,286.99,Completed
T900395,U144668,2026-02-04,Sell,USDC,213.63,Pending
T900396,U122096,2026-05-22,Buy,XRP,724.97,Completed
T900397,U122855,2026-04-27,Sell,USDC,24.54,Completed
T900398,U117261,2026-04-01,Buy,ADA,95.08,Completed
T900399,U134611,2025-06-02,Sell,BTC,760.39,Completed
T900400,U129686,2026-05-17,Sell,DOT,66.83,Completed
T900401,U147517,2025-12-16,Buy,XRP,1288.33,Completed
T900402,U132864,2025-11-23,Sell,BTC,48.25,Completed
T900403,U113356,2025-07-21,Buy,BTC,631.03,Completed
T900404,U145600,2025-10-11,Buy,USDC,58.88,Completed
T900405,U140292,2026-06-13,Buy,BTC,1108.6,Completed
T900406,U145997,2026-07-20,Sell,BTC,89.03,Completed
T900407,U131681,2025-12-30,Swap,ADA,469.19,Completed
T900408,U148061,2026-01-11,Swap,DOT,74.6,Completed
T900409,U133782,2025-10-02,Sell,ETH,165.9,Completed
T900410,U149973,2026-02-12,Sell,SOL,68.0,Completed
T900411,U137305,2026-05-28,Buy,ADA,148.19,Completed
T900412,U118202,2026-02-08,Swap,BTC,743.24,Completed
T900413,U113505,2025-10-06,Buy,XRP,102.91,Completed
T900414,U130105,2026-05-05,Buy,DOT,30.45,Completed
T900415,U122406,2026-03-23,Buy,BORG,125.9,Completed
T900416,U133039,2026-01-29,Buy,BTC,864.88,Completed
T900417,U149479,2025-06-26,Sell,USDC,300.26,Completed
T900418,U129022,2026-07-03,Buy,BTC,109.85,Completed
T900419,U128110,2025-05-09,Buy,ADA,239.91,Completed
T900420,U111230,2025-10-24,Buy,BTC,1378.15,Completed
T900421,U139512,2025-12-09,Buy,SOL,138.44,Completed
T900422,U133195,2025-09-30,Buy,BTC,137.47,Completed
T900423,U124118,2026-06-23,Sell,USDC,165.19,Completed
T900424,U124450,2026-03-19,Sell,USDC,924.76,Completed
T900425,U121956,2026-02-14,Sell,SOL,70.0,Pending
T900426,U146547,2025-10-22,Sell,ADA,65.67,Completed
T900427,U100017,2026-07-18,Sell,ADA,356.28,Completed
T900428,U105623,2025-07-09,Swap,DOT,311.53,Completed
T900429,U109711,2026-04-20,Swap,DOT,19.79,Completed
T900430,U102782,2026-03-27,Swap,XRP,637.73,Completed
T900431,U100809,2025-10-04,Sell,DOT,66.72,Completed
T900432,U137059,2025-10-07,Swap,ETH,41.45,Completed
T900433,U109424,2025-10-29,Buy,ETH,1021.8,Completed
T900434,U127398,2026-01-05,Swap,ETH,60.46,Completed
T900435,U123893,2026-04-17,Sell,DOT,255.03,Completed
T900436,U147161,2025-12-28,Swap,ETH,117.79,Completed
T900437,U140091,2026-06-10,Buy,BTC,186.77,Completed
T900438,U139294,2025-08-10,Sell,DOT,229.37,Completed
T900439,U107600,2025-10-11,Buy,XRP,582.84,Completed
T900440,U146463,2026-08-25,Sell,ADA,570.02,Completed
T900441,U109285,2026-03-13,Swap,BORG,716.41,Completed
T900442,U127069,2025-11-28,Sell,ETH,168.83,Completed
T900443,U106745,2025-08-04,Buy,ADA,180.96,Completed
T900444,U144485,2025-06-23,Buy,SOL,963.86,Completed
T900445,U115477,2026-03-20,Swap,BTC,63.11,Completed
T900446,U127381,2026-07-02,Buy,USDC,23.91,Completed
T900447,U118521,2026-08-09,Swap,XRP,308.99,Completed
